CHILD,SEX,DOB,ETHNIC,UPN,MOTHER,MC_DOB
177996,2,21/09/2003,OOTH,W042634148134,,
758171,1,29/03/2008,MWBC,T033753245081,,
614690,2,01/03/2006,REFU,S066097834119,,
74114,2,15/12/2008,WOTH,B062837386580,,
771036,1,15/07/2007,MWBA,K070349449734,,
119310,1,22/06/2008,MWBA,B061386024274,,
153991,1,01/06/2011,WBRI,Q066704755935,,
517870,1,17/05/2011,MWBA,N033434244477,,
669471,2,04/05/1999,MWBA,Y062972261382,,
216794,1,30/06/2005,MWAS,K021833600105,,
511413,2,29/04/2012,WIRT,T039298661642,,
444707,1,09/10/2007,AIND,H056897958121,,
488166,2,18/03/2011,MOTH,F033646973526,,
859504,2,28/04/2004,CHNE,E068597299676,,
659339,1,23/10/2006,MWBA,Z011780699169,,
679439,2,08/12/2006,NOBT,S006917517030,,
246000,1,09/09/2010,MOTH,U073630557589,,
526453,2,15/01/2003,WROM,D099753977602,,
845000,2,14/01/2004,WOTH,I044708426428,,
845160,1,07/08/1999,APKN,T032844598656,,
252954,1,29/10/2009,BAFR,T081811871615,,
163246,2,28/06/2005,ABAN,W045646983163,,
835985,2,28/12/2004,WOTH,D039168868119,,
654546,1,27/10/2007,BOTH,W096486300723,,
463418,1,05/11/2009,MWBA,Y014046502217,,
475651,2,08/12/2002,WIRI,M000089905243,,
143739,2,06/09/2005,WIRT,Q036754019406,,
820784,1,29/03/2012,CHNE,S012956769099,,
649701,1,28/03/2001,AOTH,W045414677277,,
863843,2,03/11/2001,CHNE,I037411065460,,
926736,2,23/07/2008,ABAN,V050938663139,,
801002,1,03/11/2005,AIND,O001773750558,,
629367,2,06/11/2005,MWBA,Y062796817773,,
335565,1,24/10/1998,MWBC,F086989011137,,
183681,2,06/07/2007,NOBT,F035083087201,,
165191,2,08/07/2008,APKN,V035222012149,,
134183,1,08/09/2012,AIND,D051311441705,,
828061,1,15/11/2007,WIRI,W017250993662,,
613372,1,20/11/2010,AIND,R064705337828,,
353982,1,03/09/2011,NOBT,C073835004575,,
20779,2,16/09/2007,MWAS,K058208885493,,
700034,1,23/06/2004,AIND,S072659239537,,
897391,1,15/12/2011,BOTH,P024704878734,,
102875,1,07/08/2012,CHNE,R038935006174,,
226329,1,07/09/2001,BAFR,Y050843669336,,
745744,2,01/12/2002,NOBT,O076742412924,,
944030,2,25/06/2000,APKN,O048877902712,,
329634,2,02/07/2000,CHNE,P059339232242,,
344631,2,28/05/2001,MWAS,B075434864980,,
406543,2,22/08/1999,MWAS,G045005193954,,
969050,1,02/07/2010,MWBA,E089912391403,,
420915,2,14/05/2002,MWAS,H000139136039,,
214498,2,30/03/2005,BCRB,I063007777577,,
13273,1,11/05/2012,CHNE,L085131116315,,
442242,1,04/01/2011,WOTH,A020064182111,,
613797,1,18/09/2003,WROM,M049939311859,,
707382,1,25/04/1998,WOTH,O024055412547,,
403200,2,27/04/1999,ABAN,X094996087420,,
969584,2,13/08/2003,BCRB,G000898381717,,
422372,1,05/11/2009,WIRI,U047292807245,,
471772,1,25/11/2002,WIRT,C019148493473,,
279893,1,03/08/2001,MWBA,G072592200470,,
668878,1,01/11/2010,CHNE,F064189582316,,
750474,2,12/01/2007,WBRI,N082667023544,,
266951,2,26/07/2004,NOBT,K008600996439,,
70176,1,28/02/2003,BCRB,T059084471519,,
684502,2,06/10/2002,AOTH,L038344874868,,
627256,2,02/05/2002,MWBC,L059326448869,,
579110,2,11/01/2009,AIND,K099572292509,,
380785,1,02/02/2007,MOTH,R055335838632,,
5973,1,22/02/2012,REFU,P081499518302,,
381364,1,02/12/2008,CHNE,F040143872216,,
88917,2,21/01/2010,WBRI,K038029811187,,
778213,1,12/06/2005,WROM,G044996819467,,
734886,1,25/06/2012,BAFR,H085130594809,,
972672,1,06/02/1999,BOTH,W038992412599,,
710616,1,09/05/2005,ABAN,Z082102739075,,
736063,1,08/05/1998,WOTH,K090475633549,,
563838,2,13/03/2009,BCRB,G015828055792,,
154630,1,27/07/2008,APKN,D053430879510,,
611543,1,24/03/1999,BAFR,I013699374492,,
296192,2,02/02/2001,CHNE,O007758389990,,
17943,1,15/10/2006,BAFR,D078571018362,,
408191,2,10/11/2012,BAFR,J099028340138,,
257900,1,20/07/2002,WBRI,K040476270986,,
948642,2,23/02/2011,AIND,Z095747345336,,
824213,1,23/01/2012,MWBA,Y091266834403,,
830280,2,22/05/2005,BOTH,S064423056104,,
592045,2,10/05/2007,MWBC,B064876268882,,
494526,1,24/08/2005,BOTH,W013671399640,,
817301,1,14/08/2009,BAFR,F065226252084,,
313614,2,14/10/1999,WROM,O012142568271,,
824375,2,23/12/2008,CHNE,P069869859223,,
607321,2,16/06/2012,WBRI,A015834971021,,
905568,2,31/10/2011,WIRI,D059986393965,,
587882,1,10/01/2010,BOTH,X006670126345,,
581129,1,20/08/2008,WROM,M086920033815,,
211061,1,03/05/1998,APKN,H098254403018,,
853017,1,23/09/1999,WBRI,L028912765322,,
42811,1,10/07/2001,WBRI,K019716318992,,
901601,2,20/02/2000,MWBC,I015709832244,,
217756,1,10/05/1999,REFU,S074646600732,,
534529,2,27/01/2001,CHNE,S026530301638,,
85488,1,04/09/2006,BAFR,U092860561013,,
142717,1,29/02/2004,AOTH,J022065351747,,
330564,2,09/04/2008,APKN,C045768875667,,
279704,2,09/06/2001,BOTH,I023873902889,,
365182,2,06/04/2000,WBRI,X076311134269,,
979558,1,03/12/2006,NOBT,N076496731556,,
947816,2,13/09/2010,WIRT,F044411794653,,
71769,1,29/06/2008,BOTH,H055715497938,,
232510,2,26/08/2003,CHNE,H022350225935,,
320189,2,26/06/2009,REFU,J040772013057,,
831392,2,06/12/2006,BOTH,X081714699771,,
805157,2,28/01/2005,APKN,Y051845977274,,
473850,1,29/04/2010,AIND,C038842373577,,
638993,1,15/12/2012,MWBA,N015715760488,,
776275,1,22/10/2009,BOTH,J067449815093,,
664947,1,23/08/2002,BAFR,M062605802584,,
139149,2,18/10/1999,WOTH,L026154337232,,
371075,1,10/12/2006,OOTH,N084262901450,,
998458,1,20/12/1998,MWAS,V087278530021,,
696034,1,22/11/2002,MWBA,Y028410399844,,
799583,2,13/08/2010,WIRI,E061466697490,,
220300,2,29/07/2000,MWBC,S054547636784,,
915076,2,09/03/2002,MWBA,U076073911816,,
984907,1,24/11/2011,ABAN,Q018306042762,,
667139,1,10/01/2002,MWAS,R008450566538,,
898076,2,14/11/2007,MWBA,H006263918716,,
327465,1,02/02/2011,WIRI,K023761683645,,
705812,2,24/08/2010,BAFR,R091104824112,,
246260,2,08/02/2003,APKN,C031789998186,,
191009,2,09/01/2008,AOTH,Y075179423774,,
967466,2,14/01/2006,WROM,E081946827904,,
662638,2,07/06/1999,WIRT,D025075585825,,
624322,1,24/10/2004,WROM,V096965887166,,
179867,1,02/10/2007,BCRB,Z018015352306,,
815653,2,19/05/2008,OOTH,U067513755698,,
146581,2,22/01/2005,OOTH,G015643288027,,
588798,1,19/03/2012,AIND,W081113278784,,
83356,1,07/02/2007,AIND,I005578741177,,
151927,1,09/02/2004,APKN,Z088165790636,,
984914,1,28/07/2009,WIRT,N024114365346,,
547574,2,22/03/2004,WOTH,H044300833632,,
432204,2,25/03/2010,MWBA,D055307039371,,
33297,1,18/11/2003,WBRI,K028215191823,,
565002,2,17/11/1998,NOBT,J038134294642,,
490038,2,16/10/2008,ABAN,R095786348636,,
999068,2,26/12/2000,MOTH,B046717294860,,
615834,1,08/09/2007,CHNE,L013558686091,,
922965,1,19/04/1998,WROM,B009612701395,,
863906,1,03/08/2003,NOBT,R034179891499,,
274696,1,10/06/2005,WIRI,Y048703800520,,
450893,1,20/09/2010,BCRB,J094790173899,,
311224,2,09/03/2009,WBRI,F063307165331,,
215735,1,24/01/2011,AOTH,S018281726140,,
295320,1,16/02/2008,AOTH,L049922343665,,
864078,2,25/08/2001,OOTH,M084454687844,,
206463,2,25/12/2006,BAFR,G095136726187,,
427798,1,15/04/2000,WOTH,W077715266911,,
521985,2,07/12/2006,WIRI,I080685846815,,
715956,1,27/03/2003,WIRT,V077255071354,,
936532,1,24/04/2002,OOTH,O080228365713,,
190071,1,16/05/2012,REFU,G090662063740,,
169954,2,06/05/2009,OOTH,N006581205612,,
293655,1,09/09/2005,MWBC,J068135424080,,
711203,2,01/05/2006,MWBC,W038295216238,,
210382,1,09/08/2001,BOTH,B090068490445,,
927222,1,17/03/2009,WBRI,Y044777167574,,
957523,1,08/03/1999,BCRB,X016735868541,,
741523,1,23/08/2008,OOTH,H058412783318,,
372406,1,25/02/2006,NOBT,Y003036885210,,
125799,2,16/05/2008,BCRB,K059027956227,,
714859,1,18/12/2007,WROM,O059046262333,,
793343,1,02/11/2005,MOTH,Z028711320145,,
761025,1,20/03/2003,NOBT,U006616355975,,
531610,1,07/05/2002,WIRT,F053549626451,,
358256,2,24/03/2007,OOTH,G047012863062,,
111414,2,15/12/2006,MOTH,R052354137027,,
497312,1,09/04/2008,OOTH,O045926454705,,
673827,1,27/07/2001,WIRI,Y011912678835,,
776160,2,18/06/2011,MWAS,E079749426848,,
116242,1,09/04/2002,WIRI,V034402474467,,
210832,2,02/04/2008,WIRT,I017614978957,,
151800,1,28/12/2011,BCRB,C081152541204,,
198918,2,04/03/2012,WBRI,B083951980511,,
748905,2,08/11/2000,REFU,P085641707331,,
695656,1,14/01/2000,BAFR,F064306402829,,
291532,2,30/07/2001,BAFR,F084261740571,,
149757,2,29/11/2005,WBRI,D005222190235,,
713794,1,22/03/2002,WROM,J092678294384,,
412502,2,12/01/2007,BAFR,S056076356313,,
998900,2,19/10/2009,WIRT,P005100132187,,
74373,1,01/06/1999,BOTH,B027752382424,,
22071,1,11/09/2000,WBRI,A060307255471,,
282775,2,10/04/2007,WROM,P076524006724,,
307183,1,07/03/2004,MWBA,Z099471732415,,
490760,2,18/01/2009,NOBT,M071316299444,,
149992,2,23/02/2010,REFU,V026696446134,,
427797,2,24/06/2005,MOTH,S047630021204,,
917645,1,22/10/2008,BOTH,Y098290944931,,
747674,1,25/12/2007,AOTH,F048322121849,,
447288,2,30/06/2003,MWBA,A028435841474,,
398784,1,25/11/2008,NOBT,G034362436727,,
41681,1,09/04/2012,APKN,G069013444786,,
704907,1,09/06/2007,BAFR,B039581114165,,
946358,1,06/02/2010,REFU,W073269350442,,
169998,2,14/07/2005,OOTH,W073580242640,,
27571,1,22/09/1999,WROM,T043018074030,,
460778,1,11/05/2005,ABAN,H071044650329,,
341674,1,13/01/2004,NOBT,N020976480725,,
599830,1,18/12/1999,WBRI,Y031952775027,,
111662,1,13/01/2000,OOTH,Z021729552752,,
197330,2,17/03/2000,REFU,E069597776984,,
688588,1,30/08/2002,WIRI,I083061506396,,
468147,2,29/10/1999,WOTH,W045299388174,,
920951,2,03/07/2004,WIRI,U064459927736,,
616568,1,12/03/2009,WIRI,R072827126586,,
467759,1,25/09/2011,OOTH,X007263041587,,
514394,2,01/08/2003,WIRT,S042443418445,,
882826,1,30/09/2000,BCRB,F061596119420,,
748671,1,07/03/2001,AOTH,L028742976673,,
973094,1,24/06/2006,APKN,B050670437453,,
822748,2,13/04/2012,NOBT,U069144601868,,
378660,1,23/04/2007,WROM,F015154208273,,
379623,2,13/11/2004,CHNE,E064842402691,,
658493,1,11/05/2000,WROM,H025205178455,,
54598,2,15/05/2000,BCRB,A084425582868,,
541352,1,25/09/2004,MWBA,B022704451546,,
781773,1,20/07/2007,BCRB,A037333590226,,
952058,2,07/09/2002,WOTH,A059194570796,,
207951,1,10/08/2008,WBRI,Y023857102070,,
905665,1,19/12/2002,REFU,V013406932721,,
119283,1,04/10/2007,NOBT,N015910725737,,
232844,1,16/09/2009,AIND,U024556071571,,
74439,2,24/04/2005,MWBC,A060780322554,,
54293,1,19/10/2005,NOBT,I048488269633,,
444248,2,13/02/2007,MWAS,T022796755140,,
929880,2,27/09/2002,AOTH,L082343701897,,
243695,1,09/03/2001,MWBC,Q083866064489,,
164009,1,25/05/2012,MWBA,W054761364577,,
590615,2,29/01/2007,AIND,N021900422021,,
509659,2,07/10/2007,MWBC,C086030575445,,
286935,1,16/11/2006,REFU,X099878536188,,
641462,2,29/08/1999,BCRB,V067429720522,,
100930,2,08/02/2011,MOTH,A084708034795,,
776323,2,28/02/2006,CHNE,N096351905755,,
140794,1,27/01/2008,WOTH,M028270050903,,
383711,1,01/02/2003,APKN,K018354296828,,
432881,2,09/02/2004,MWBC,A034180697340,,
56309,2,25/09/2005,WROM,I046399850184,,
118090,1,25/12/2011,WIRI,J025172436985,,
925816,2,23/01/2002,BOTH,H043838148612,,
115324,1,03/07/2012,AOTH,Q086261386115,,
905728,2,07/09/2005,WIRI,E012468091303,1,19/07/2020
783863,1,14/11/2001,WIRT,H059975094215,,
504484,2,22/01/2011,WROM,S070275744149,,
752302,2,27/05/2003,OOTH,Z094792159276,,
22499,1,04/11/2010,CHNE,D044599982596,,
224486,2,23/11/2003,WIRI,H001372736191,,
723374,1,25/10/2008,MWAS,Y012855158382,,
239508,2,18/06/2000,BAFR,Q002770385880,,
615327,1,17/09/2004,WIRT,J032708032187,,
716445,1,13/03/2001,WIRT,T010471709023,,
159585,1,27/03/2008,APKN,W033912748217,,
357556,2,22/04/2007,WIRI,Q063371886238,,
741951,2,25/07/2011,AOTH,W074161079813,,
237651,2,30/05/2002,OOTH,M067297634928,,
505189,1,12/04/2009,MWAS,B033178969101,,
833608,2,31/01/2002,WBRI,J003168868149,,
851996,1,06/07/2004,BOTH,B055563591949,,
631385,1,28/07/2003,WBRI,O090422055879,,
335484,2,08/06/2004,WIRT,L009695002499,,
336977,2,19/11/2010,NOBT,Z053001442125,,
494466,2,15/03/2012,MWAS,R002251629760,,
257136,1,18/08/2006,WBRI,F070193146503,,
670824,1,17/07/2008,WIRI,U015587148799,,
656010,1,20/06/1999,MWBA,G023607503856,,
75658,1,12/05/2007,APKN,W061269878808,,
312676,2,22/05/2002,WBRI,I009038152212,,
967412,2,23/11/1999,OOTH,M091732431524,,
82838,2,24/04/2006,NOBT,H014817426657,,
439712,1,13/03/2001,ABAN,Y065082125818,,
346921,2,20/05/2005,MWAS,S033903410484,,
174597,1,30/05/2009,WOTH,Q073798637107,,
848289,1,06/07/2001,NOBT,K033814266040,,
477179,2,25/03/2011,AOTH,V077450722590,,
750426,1,04/10/2001,MWBC,E086234173627,,
535471,2,06/12/2008,BCRB,T031513866657,,
438594,2,10/08/1998,BOTH,Q009815882410,,
95235,2,09/05/2006,WIRT,R051911025384,,
479846,1,13/08/1999,MWAS,X078262653087,,
605926,2,04/01/2008,MWBA,M062534696272,,
834098,1,15/03/2006,BCRB,T071559293861,,
874479,1,22/09/2003,ABAN,X021359356273,,
860720,1,21/04/2000,WOTH,Y085822437544,,
689912,2,27/01/2004,MWBC,L024595379881,,
596555,1,20/06/2008,MWAS,Q007544154512,,
400809,2,17/02/2008,WIRI,Z093470581270,,
721719,2,12/06/2001,MOTH,Q036852894468,,
573316,2,25/10/1999,WBRI,U033576007728,,
589135,1,07/02/2004,AIND,L083050972023,,
893535,2,09/06/2008,AOTH,W094926665161,,
99724,1,29/10/2001,REFU,T083028348408,,
563993,2,31/07/2004,BCRB,G087149594467,,
889503,1,07/05/2003,AIND,R028252321271,,
303858,1,30/10/2005,BCRB,U032007330356,,
52014,2,13/08/1998,MWAS,O086375785170,,
890150,1,20/10/2000,MOTH,H080175996265,,
791174,1,17/07/2008,BOTH,M054373712644,,
767448,1,04/01/2001,WROM,J008579147913,,
48055,1,03/10/2007,ABAN,N079036157192,,
576942,2,03/12/2000,MWBC,W031567726242,,
180373,2,30/06/2003,AIND,R016742409106,,
348494,2,20/03/2012,NOBT,J040892139058,,
83470,1,02/04/2007,WBRI,R027161221392,,
833431,2,31/01/2012,ABAN,F098916553597,,
8415,1,15/12/1999,AIND,F048988225943,,
955176,2,11/08/2004,APKN,N009720689627,,
479,1,08/11/2000,WOTH,N064869767410,,
235824,2,28/02/2004,MWBA,J058136049940,,
956960,1,16/10/2005,APKN,I017559601013,,
47174,1,04/11/2000,MOTH,W027154981240,,
599819,1,09/11/2003,APKN,C052170879718,,
697520,2,23/06/2012,REFU,D095630159456,,
279737,1,29/08/2002,MWBC,Q019133109035,,
989765,2,12/01/2009,AOTH,R030990536678,,
691096,1,14/05/2000,WROM,J066746024508,,
415927,2,16/09/2010,MWBA,Y020122655568,,
566738,1,19/12/1998,MWBC,I093853171429,,
206832,2,09/01/2012,WOTH,D095258028861,,
123015,1,14/11/2002,WBRI,S078864841780,,
530719,1,18/09/1998,ABAN,Z064319267566,,
801142,2,01/06/1998,CHNE,M037518922119,,
604149,2,29/04/2002,WIRT,L015294358690,,
350672,2,14/06/1999,BAFR,E050678074478,,
763766,1,09/12/2005,APKN,A025958094047,,
551952,2,30/09/2012,AIND,L013592125890,,
995558,2,18/10/2002,WIRI,W049765360574,,
330430,1,12/12/2005,BOTH,G038810906098,,
530988,1,05/09/2011,APKN,X008305146125,,
856978,2,06/02/2007,AOTH,L026629583159,,
953947,2,16/04/2008,MOTH,M018127536058,,
503491,2,10/03/2012,REFU,M068940884475,,
316987,1,10/09/2007,APKN,V027021774021,,
177458,1,04/03/2003,NOBT,A070790832669,,
506294,1,02/07/2004,OOTH,J041401799305,,
996534,1,01/03/2007,ABAN,W084713341383,,
214775,1,29/03/2002,MWAS,K093467883886,,
328369,1,30/04/2010,WIRI,G050830998607,,
203431,2,18/12/2008,MOTH,B074143038698,,
507827,1,30/09/2012,REFU,Q011818556417,,
529671,1,20/11/2012,WBRI,E095308209456,,
880805,1,23/09/2010,MWBA,R068105881229,,
248336,2,12/07/2012,MOTH,I088197438231,,
229002,1,29/10/2011,AIND,H049033473127,,
391971,1,29/07/2008,BCRB,F041947767932,,
339141,1,01/07/2011,WBRI,S048585844274,,
559373,1,27/10/2007,MWBC,J072256081446,,
39532,1,30/04/2001,MWBC,C068343766513,,
750620,1,16/04/2000,WIRI,R055763093737,,
240351,1,08/10/2001,NOBT,V087912552980,,
555936,1,14/03/2005,WIRI,V005584729577,,
291153,1,30/12/2004,MWBA,M078310573111,,
788058,2,27/01/1999,OOTH,R006177429869,,
975543,2,08/06/2005,OOTH,H057099048117,,
299129,2,16/07/2005,AOTH,H089175001801,,
46281,2,10/12/2009,BCRB,T053549072486,,
888224,1,06/06/2009,WIRI,U049226873255,,
640462,1,03/06/2009,MWBA,A014808898319,,
584278,1,15/10/2005,OOTH,F022771320711,,
511049,1,21/08/2004,WIRI,I093260491756,,
140468,2,06/05/2001,ABAN,W039958999721,,
96300,1,26/07/2006,AIND,I062990740900,,
322928,2,18/04/2004,WROM,K049088660002,,
770799,2,23/12/2011,CHNE,H077748848265,,
526804,2,22/12/2010,APKN,O057234753989,,
65666,2,23/02/2008,REFU,T002354620892,,
880955,2,07/02/2007,AIND,H024469498578,,
642375,1,29/01/2010,WBRI,L079647235941,,
637471,2,03/06/2011,AOTH,L075337823586,,
811308,1,26/04/2007,WBRI,P080197751570,,
873782,2,09/10/2005,WROM,G058805927494,,
220337,1,20/02/2006,MWBA,W085872531794,,
933871,2,03/09/2011,MWBC,I097532193958,,
122122,1,03/06/2005,WIRI,A092286754508,,
342128,1,03/08/2009,NOBT,T073409881096,,
380552,1,22/10/1998,WBRI,S064992082734,,
86594,1,21/01/1999,WROM,L063188066679,,
861760,2,21/10/2009,MWAS,N056029094094,,
350684,1,10/08/2000,REFU,B040605852453,,
254355,2,22/04/2005,WIRT,S011619638547,,
529668,1,28/11/2001,WOTH,H047987102460,,
512084,2,23/06/2012,REFU,E042294819067,,
599205,1,06/02/2011,ABAN,C072975520022,,
452771,2,17/10/2011,ABAN,N066280611670,,
680077,2,28/04/2001,AOTH,A042147877607,,
860933,2,10/08/2005,WIRI,H028277791776,,
930832,1,14/08/2011,WOTH,N025201769249,,
278169,1,21/09/1999,MWAS,C023112409796,,
220526,2,27/01/2000,WOTH,G088967291261,,
547027,1,12/03/2002,BAFR,T050334210659,,
594942,2,25/06/2003,BCRB,I072022827126,,
27940,2,13/11/2009,WOTH,B084501656778,,
487589,1,18/08/2009,MWAS,D002284073035,,
262536,1,17/06/2009,BOTH,W085090961460,,
352782,2,03/12/1999,MOTH,V054755806939,,
987087,2,27/01/2003,BAFR,C018999005462,,
975523,2,06/02/2008,WBRI,Q056067567574,,
913777,2,24/04/2001,AIND,J044958804905,,
151992,2,20/12/2000,AIND,Q078119212700,,
45183,1,22/11/2007,OOTH,X079737619511,,
305167,1,20/11/2001,WIRT,N035559975859,,
169934,1,21/04/1999,OOTH,A002595353554,,
634052,2,07/01/2008,BAFR,G096900250110,,
812421,1,08/06/2010,MWBA,H009527559074,,
839053,2,28/10/2001,AOTH,W008358726391,,
245308,1,26/11/2005,AOTH,M021098803978,,
979904,1,12/12/2008,WOTH,O057989790318,,
165880,1,12/11/1998,MWBC,F072094650897,,
695300,2,24/02/2012,REFU,A089472154106,,
137470,1,20/09/2004,WIRI,Y052683029628,,
337462,1,27/10/2009,MWBC,N057100920643,,
860435,2,18/10/2009,WBRI,S036359983121,,
622424,2,21/10/2012,WBRI,W033573483390,,
334491,1,14/11/2008,BCRB,O058118695138,,
387598,2,23/10/2005,MWAS,D070674906492,,
636870,2,18/08/2001,CHNE,J011663616226,,
412174,1,10/04/2004,AIND,L017567718809,,
851399,1,06/06/2006,MOTH,H094825344762,,
388993,1,04/05/2007,BAFR,V056517539931,,
240417,2,10/11/2007,CHNE,O019252581684,,
380593,2,03/02/2004,AIND,A012817356413,,
884275,2,07/05/2007,MOTH,A024293692921,,
228354,2,30/07/2008,MOTH,G024407233428,,
486848,1,28/01/2003,REFU,A012087820155,,
405352,2,23/03/2001,ABAN,A089418935348,,
547840,2,27/11/2002,ABAN,G014727661124,,
768284,2,24/02/2010,MOTH,T026394790599,,
570669,1,07/08/2009,MWBA,R079214051105,,
125701,2,12/01/2012,MOTH,Z002558253080,,
778313,2,03/09/2008,MOTH,Y017355142467,,
55814,1,05/11/1999,MOTH,O038161838062,,
323022,1,07/05/2004,WOTH,N001783299658,,
594449,2,10/04/2002,MOTH,I005271839426,,
183022,2,22/12/2000,WROM,N041151816262,,
660788,2,12/03/1999,WBRI,V033472710368,,
895319,2,22/04/2004,WOTH,S029186260344,,
377499,2,22/08/2000,MWBC,G068974536599,,
748982,1,04/05/2001,MWBC,D072365310706,,
158507,1,14/05/2004,WIRI,E077668564021,,
506970,2,16/03/2011,WBRI,S070847998392,,
800776,2,08/07/2011,MWBC,C092358409078,,
30809,2,03/03/2007,BOTH,B068680791128,,
208889,2,11/10/2004,BAFR,O049136254644,,
480588,2,11/08/2012,APKN,Y030488438946,,
163880,2,06/12/2001,APKN,P072357134188,,
424308,2,25/03/2011,WIRT,X061836201138,,
777952,2,14/09/2000,MWAS,K024905692313,,
697234,2,05/05/2000,MOTH,K000978337691,,
660845,2,27/12/2010,APKN,C081720231923,,
224467,1,26/07/2006,REFU,U073481268747,,
243648,1,25/03/2011,ABAN,P015048545350,,
935951,1,24/06/2000,OOTH,X015967280378,,
769085,1,08/09/2000,AIND,L049259920105,,
287467,1,10/04/2001,MOTH,Z044372360702,,
881552,1,03/01/2004,MWBC,D038679706052,,
178729,1,14/12/2009,AIND,A091638479100,,
75498,2,12/08/2007,BOTH,Q001400708681,,
286022,2,17/07/2005,NOBT,P024297347799,,
892842,1,12/11/2002,WOTH,T016914404588,,
674587,1,13/07/2012,ABAN,H019040876196,,
480755,2,05/05/2004,BCRB,T033060956558,,
485704,2,25/11/2012,WBRI,R075196946343,,
368834,1,10/04/2004,ABAN,B009177064503,,
549252,2,04/06/2002,ABAN,I013406019804,,
836225,1,07/12/2004,MWAS,G060836705860,,
198616,1,26/08/2007,MWAS,G061882195159,,
13960,2,02/10/1998,APKN,R005276975021,,
13830,2,16/02/2003,MOTH,F044386157676,,
790413,2,04/12/2010,ABAN,Q017618529533,,
905397,2,01/12/2003,MWBC,R018304602495,,
679177,2,01/09/2010,APKN,U009286262236,,
179580,1,29/11/1999,BAFR,H009878498202,,
796276,1,29/01/2002,BOTH,B036475454460,,
93763,1,29/10/2005,MWAS,Z043302370414,,
794775,2,05/02/2009,MWBA,D097136473461,,
594730,2,03/08/2004,OOTH,K031431472431,,
537139,2,04/07/2005,AOTH,V080091185839,,
590883,2,18/03/2005,BOTH,P062738627028,,
657375,1,17/02/2009,WOTH,Z063346773488,,
422538,1,27/10/2011,NOBT,W079787559465,,
206993,1,08/03/2005,BOTH,Y065460424546,,
804295,1,08/10/2008,WIRT,O096122438626,,
668172,2,11/07/2007,MWBA,Z095383215703,,
100341,2,20/12/2009,WIRI,J069486972083,,
506973,2,26/12/2009,ABAN,H038700781132,,
991793,1,26/12/2012,MWBC,U071346124646,,
518072,1,10/01/2003,WOTH,V060318351565,,
981734,1,06/06/2009,ABAN,P085668544249,,
28177,1,05/06/1999,WBRI,U037145449653,,
890005,1,12/07/2008,MWAS,T081667263567,,
425797,1,06/03/2001,APKN,D002738215259,,
816317,1,28/04/2006,BAFR,J047868636870,,
780625,1,20/07/2008,BCRB,K010429291037,,
753067,1,14/02/2004,BAFR,Q007612560698,,
351150,1,30/07/1999,WIRT,H083766364602,,
914569,2,04/07/1999,NOBT,V016845897384,,
386604,1,17/05/2001,WIRT,N037171946858,,
601407,1,10/03/2011,AOTH,X077733517901,,
200307,1,11/06/2004,MOTH,N011364167093,,
21088,1,01/08/2002,OOTH,Z037433819774,,
912731,2,25/10/2009,OOTH,A098448712053,,
480096,1,04/08/2008,REFU,D044189810244,,
343203,1,02/05/1999,WOTH,V021177137195,,
766189,2,31/03/2002,OOTH,I038046389703,,
235399,2,10/06/1998,OOTH,O060124426731,,
480620,2,10/06/2002,WIRT,G089786346637,,
34427,2,09/12/2010,AOTH,Z028383745541,,
333386,2,14/08/2001,AOTH,B008249289112,,
512652,2,26/11/2008,WIRT,X014858175035,,
192311,2,01/03/2010,NOBT,Z077217675377,,
334313,2,05/07/2003,WROM,L072903067109,,
939595,2,30/06/2011,AIND,D049578004927,,
765710,1,15/05/2005,NOBT,X033196947057,,
285503,1,05/09/1999,MWBC,T055459213027,,
408784,1,17/08/2009,OOTH,C085532887216,,
730737,1,31/08/1998,MOTH,F006694850226,,
514096,1,24/06/1999,CHNE,A084867704923,,
825219,2,19/07/2005,BAFR,I084871271412,,
909716,1,23/04/2006,BOTH,B086863189879,,
61946,1,07/06/2006,WROM,F033549954994,,
772589,2,21/05/2002,ABAN,N028656453831,,
318585,2,08/06/2003,MWAS,T084374885525,,
59531,1,18/05/1998,MWBA,P061210978819,,
139454,1,10/01/1999,BOTH,E060410985519,,
198870,2,21/08/1999,WBRI,J026757796732,,
829748,2,05/11/1999,ABAN,R057694744649,,
382514,2,05/05/2011,WROM,G064402543830,,
809754,1,06/05/2002,WIRI,H078796089285,,
138583,1,09/06/2011,ABAN,G009976331068,,
370853,2,14/12/2000,AOTH,F058465800838,,
482497,2,29/12/2003,OOTH,S074356781560,,
329649,2,24/08/2009,WOTH,Y073105529572,,
578180,2,17/06/2005,BAFR,D018932382063,,
36129,1,28/12/2010,WROM,F015858414642,,
693567,2,12/06/2007,APKN,W098207577613,,
548747,1,30/04/2000,MWBC,S006331714363,,
832960,1,27/12/2003,CHNE,E073493552213,,
66324,2,13/11/2011,CHNE,K031837608385,,
758738,1,18/07/2002,OOTH,N043716738453,,
654158,2,30/09/2002,BCRB,G032635367425,,
187768,2,09/11/2008,WIRT,E066409964777,,
122636,1,03/08/2007,MWBC,I006564685238,,
118841,2,22/01/2011,ABAN,M042480385413,,
776515,1,01/05/2003,OOTH,V031211666209,,
275909,2,23/10/2008,MWBA,L085806892685,,
497086,2,20/10/1998,ABAN,X072371731536,,
736591,1,18/04/2001,MOTH,H069085309431,,
