pupilnolongeronrolltableid,NativeId,dob,surname,forename,middlenames,preferredsurname,formersurname,upn,formerupn,uniquelearnernumber,sex,entrydate,leavingdate,pupilnolongeronrollorderseqcolumn,sourceid,schoolcensustableid,parttime,termlysessionspossible,termlysessionsauthorised,termlysessionsunauthorised,moveonrollflag,missingaddress,summerhalfterm2sessionsauthorised,summerhalfterm2sessionspossible,summerhalfterm2sessionsunauthorised,qualhrs,qualhrspreviousyear,nonqualhrspreviousyear,tlevelqualhrs,tlevelnonqualhrs,nonqualhrs,summerhalfterm2sessionseducational,summerhalfterm2sessionsexceptional,summerhalfterm2sessionscoronavirus,boarder,language,ncyearleaving,mathsgcsehighestpriorattainment,mathsgcsepriorattainmentyear11,englishgcsehighestpriorattainment,englishgcsepriorattainmentyear11,mathsgcsefundingexemption,englishgcsefundingexemption,mathsgcsehighestpriorattainmentpreviousyear,englishgcsehighestpriorattainmentpreviousyear
2d725523-695,SCH5,2013-Apr-07 00:00:00,SUR8420,FOR3753,MID1829,PSUR7520,FSUR2962,73ad8cfd-1ad,365f2296-cdb,e3ade57e-0,F,2024-May-17 00:00:00,2024-Oct-09 00:00:00,1,226e49f5,22152265,False,129.0,8.0,3.0,a7eebe12,152ac6d4,8.0,139.0,,807.0,756.0,129.0,813.0,121.0,142.0,,,3.0,,ENG,3,,2,,,,,,
2e9061d6-bd2,SCH2,2018-Mar-18 00:00:00,SUR4432,FOR5937,MID1537,PSUR4192,FSUR2305,2b2e5009-11e,694d5486-2c1,5fbb5e9e-2,M,2020-Dec-26 00:00:00,2024-Oct-12 00:00:00,1,340c9478,82dc475b,,136.0,8.0,,3b6d96f0,4718fea2,8.0,128.0,,747.0,778.0,127.0,689.0,125.0,122.0,,,,,ENG,14,,2,5,,,,,
2e9061d6-bd2,SCH7,2018-Mar-18 00:00:00,SUR4432,FOR5937,MID1537,PSUR4192,FSUR2305,2b2e5009-11e,694d5486-2c1,5fbb5e9e-2,M,2024-Oct-13 00:00:00,2024-Dec-06 00:00:00,2,63aa5055,474c1ee2,True,133.0,,,0531b6ed,848ce9cd,8.0,127.0,3.0,779.0,801.0,127.0,796.0,138.0,130.0,,,,7,ENG,3,,,2,,,,,
2fe6779e-38f,SCH3,2012-Dec-07 00:00:00,SUR9503,FOR9933,MID2476,PSUR6010,FSUR9160,c86e705d-277,5e73f3d2-6b3,7677b676-5,F,2024-Aug-17 00:00:00,2024-Sep-01 00:00:00,1,4c3ee410,7eb7bd54,False,132.0,9.0,,e493a4ba,e153376a,,133.0,2.0,702.0,787.0,128.0,783.0,133.0,136.0,,,,,ENG,9,,,,1,,,9,
30685158-c9d,SCH7,2014-Aug-29 00:00:00,SUR9305,FOR3098,MID9847,PSUR5492,FSUR5783,d14cd294-b72,5b661eb9-144,8266b96d-a,M,2021-Jun-20 00:00:00,2024-Sep-17 00:00:00,1,5e9fdd6c,ddc8b917,False,124.0,8.0,,0ec03016,3b0dbc38,8.0,126.0,,765.0,778.0,122.0,777.0,135.0,126.0,,,3.0,,ENG,9,8,,,,O,,,
306997fd-d42,SCH1,2014-Jul-27 00:00:00,SUR4869,FOR7202,MID9116,PSUR1522,FSUR2728,a779237d-533,eb3c1716-0a0,6cc7b365-3,F,2024-Jun-26 00:00:00,2024-Sep-17 00:00:00,1,ab87885d,06254a67,False,121.0,8.0,,a3a73415,68d31d29,8.0,133.0,4.0,721.0,763.0,127.0,779.0,136.0,131.0,,,,,ENG,M,,,,,,,,
30919da5-13d,SCH2,2016-Aug-20 00:00:00,SUR4560,FOR7133,MID9403,PSUR8900,FSUR7548,1f4b189d-ac7,1cec906b-ea0,5bf51714-3,M,2023-Jan-15 00:00:00,2024-Nov-08 00:00:00,1,82b5fbd4,ff965a91,False,137.0,8.0,,0ec57084,6af9423e,8.0,120.0,,777.0,838.0,127.0,805.0,129.0,127.0,3.0,,2.0,,CYM,14,NR,2,B,,F,,,
30c7e295-8fe,SCH7,2018-Jul-31 00:00:00,SUR8841,FOR7972,MID9021,PSUR1008,FSUR2091,1535286c-c59,73022815-3f3,f982bea2-0,M,2022-Aug-16 00:00:00,2024-Nov-06 00:00:00,1,3ee78e9e,def7070d,False,129.0,9.0,,007ff081,9dcac50b,9.0,139.0,,765.0,817.0,131.0,785.0,136.0,128.0,,,,,UKR,1,,,,,,,,
3168e844-e66,SCH2,2013-May-10 00:00:00,SUR5090,FOR3745,MID3825,PSUR8884,FSUR8847,d97097df-eec,88a17687-4c9,29e06255-8,F,2023-Jan-15 00:00:00,2024-Nov-15 00:00:00,1,076c534d,f03813db,False,123.0,,,9d4347be,52763348,8.0,133.0,,799.0,776.0,119.0,758.0,134.0,136.0,,,,,ENG,E1,,3,,,,,C,
321a806e-1cb,SCH8,2016-Jan-06 00:00:00,SUR9162,FOR5333,MID3748,PSUR1784,FSUR6098,4396b85d-0dc,4eb83a28-a45,db5d904b-4,M,2019-Sep-29 00:00:00,2024-Oct-25 00:00:00,1,28280caf,32c4a8d0,False,129.0,,2.0,f4b49293,eaca5e23,9.0,129.0,,745.0,794.0,119.0,791.0,127.0,134.0,3.0,,,,CYM,3,,,8,,O,,,
32fc6627-1b1,SCH6,2015-Sep-17 00:00:00,SUR7648,FOR8711,MID5698,PSUR8972,FSUR1965,6931899d-096,a6f14232-7d1,aceaecda-8,M,2023-Sep-18 00:00:00,2024-Sep-16 00:00:00,1,d0e97d84,a874474d,False,130.0,8.0,3.0,c23e817c,28a25925,8.0,131.0,,801.0,733.0,134.0,780.0,128.0,128.0,,,,,CYM,12,,,,1,,,3,
35ece27f-2f8,SCH6,2007-Nov-08 00:00:00,SUR2425,FOR7274,MID5317,PSUR6836,FSUR8759,50e690a4-c3e,430eee7a-075,84e7ae0e-f,F,2023-Nov-23 00:00:00,2024-Dec-05 00:00:00,1,9c3c9b05,f7d22dfc,True,126.0,8.0,,9677e372,8698d16a,8.0,140.0,3.0,751.0,799.0,125.0,800.0,124.0,127.0,,,,,ENG,R,,,8,,,U,,
36bff8b2-d86,SCH1,2013-Oct-14 00:00:00,SUR1210,FOR2003,MID1037,PSUR3292,FSUR3578,5836bccd-eb6,4cdd82f4-900,5024b0bd-8,M,2024-Sep-29 00:00:00,2024-Oct-28 00:00:00,1,5239eb3a,20b3fe74,False,127.0,7.0,,46746842,c3c014e3,8.0,135.0,,743.0,728.0,127.0,783.0,127.0,139.0,,,,,ENG,10,,3,5,,,,,
37699aaf-cdc,SCH8,2020-Jul-17 00:00:00,SUR7730,FOR5695,MID1622,PSUR9844,FSUR9966,1d2e4c64-20e,be2a6fc5-c2c,d7cbd05e-8,M,2023-Mar-01 00:00:00,2024-Sep-16 00:00:00,1,bef96e2c,18566270,False,124.0,8.0,,2bbf577b,32801530,,133.0,,823.0,771.0,126.0,780.0,124.0,126.0,,,,,ENG,11,,,,,,,,
37a7936b-27f,SCH6,2016-May-19 00:00:00,SUR9098,FOR5337,MID9372,PSUR9756,FSUR9572,5cb7fca3-3b6,f4ab7495-dff,323fbbac-d,F,2022-Mar-10 00:00:00,2024-Sep-10 00:00:00,1,5fee063c,10102fa5,,128.0,7.0,,53964716,5a783dd3,8.0,132.0,,794.0,811.0,132.0,769.0,134.0,128.0,,,,,CYM,1,A*,,8,,,,,
37ec12e3-407,SCH6,2011-Sep-15 00:00:00,SUR2522,FOR5272,MID9087,PSUR3160,FSUR1976,f9408232-959,54ec04cf-198,6da06582-7,M,2021-Dec-25 00:00:00,2024-Oct-12 00:00:00,1,f20b65e3,7fdf3d20,True,133.0,9.0,,123046df,01c3e9c8,,120.0,3.0,820.0,801.0,126.0,721.0,133.0,126.0,,,,,,9,,,D,,,,,
382bdc5f-f19,SCH2,2009-Apr-17 00:00:00,SUR5881,FOR2744,MID6030,PSUR1177,FSUR7162,400298c2-9fb,21385588-616,774ecd4f-6,M,2019-Jun-01 00:00:00,2024-Oct-28 00:00:00,1,93168587,db071a95,True,134.0,7.0,,3d40d5b4,242d87b2,9.0,127.0,,776.0,825.0,129.0,759.0,130.0,134.0,,,3.0,,RUS,11,,1,,1,L,,,
3983cb6d-635,SCH7,2018-Sep-25 00:00:00,SUR2206,FOR3530,MID5260,PSUR6028,FSUR1900,142d4630-17c,0e3ff637-5e5,37905fbb-4,F,2024-Mar-10 00:00:00,2024-Dec-17 00:00:00,1,edee4ed5,539df186,False,129.0,8.0,2.0,79d41e7b,4d727249,8.0,126.0,,806.0,828.0,133.0,788.0,128.0,131.0,,,,,TRI,7,,,,,,,B,E
39f6c3f6-043,SCH5,2011-Dec-06 00:00:00,SUR7398,FOR8849,MID5014,PSUR3623,FSUR4589,d549c40d-7a4,7eaeb308-f6c,dcc92ecb-2,F,2024-Jul-03 00:00:00,2024-Oct-11 00:00:00,1,0286e4af,471d4a73,,137.0,,4.0,0800fa2d,c93c98a1,,134.0,,766.0,789.0,124.0,771.0,129.0,136.0,,,,,ENG,3,,,,,,,,
3a2e596c-42c,SCH8,2016-Sep-27 00:00:00,SUR7374,FOR8992,MID8392,PSUR9098,FSUR1846,c31acbed-66f,ade6c6b8-6b1,3c2c94c8-7,M,2020-Jan-08 00:00:00,2024-Oct-27 00:00:00,1,1e784caa,888e3da4,False,129.0,8.0,3.0,d823b89e,27160932,8.0,130.0,,759.0,772.0,129.0,723.0,129.0,127.0,,2.0,,,GAL,X,,,,,,,,
3a4c7f7c-658,SCH2,2007-Nov-20 00:00:00,SUR4452,FOR1564,MID7037,PSUR9216,FSUR5104,c7024cba-f8a,3ddd8c17-85f,45540f5d-6,M,2023-Mar-23 00:00:00,2024-Oct-25 00:00:00,1,b385e86c,6d652e6c,False,130.0,,,0863e622,50d844dd,7.0,125.0,3.0,746.0,790.0,133.0,788.0,132.0,131.0,,3.0,,,GAL,2,,,,,,,,
3a804849-d12,SCH4,2015-Mar-20 00:00:00,SUR7110,FOR4561,MID4069,PSUR1966,FSUR3005,f3e643cf-a0f,56f87730-fc8,b3aa2896-6,F,2022-Jul-17 00:00:00,2024-Dec-01 00:00:00,1,756f50cf,fb546c9e,False,122.0,8.0,,9ae134b8,5e692e87,8.0,134.0,,773.0,800.0,136.0,772.0,128.0,137.0,,,,,PRST,R,,,7,,,,,
3b1f1d81-87e,SCH6,2019-Feb-13 00:00:00,SUR8071,FOR7947,MID2053,PSUR8153,FSUR8277,9789ba56-265,374ae78c-1e2,5f325869-2,M,2023-Apr-21 00:00:00,2024-Dec-01 00:00:00,1,01c7ba65,28ed0387,False,130.0,7.0,,061db6a2,09f91cd5,7.0,126.0,3.0,754.0,791.0,131.0,805.0,131.0,128.0,3.0,,4.0,,ENG,4,,,5,,,,A,
3bad4efe-d6f,SCH5,2010-Mar-12 00:00:00,SUR1106,FOR6930,MID9657,PSUR4716,FSUR4680,48e40629-ac4,b59c13f4-647,dd4f482e-a,F,2023-Nov-09 00:00:00,2024-Oct-05 00:00:00,1,e4165bed,5fa86de2,False,127.0,8.0,,c305dd55,d299b17d,,124.0,3.0,718.0,806.0,132.0,729.0,138.0,125.0,,3.0,,,TRI,12,7,2,,,,,,
3dfe61ff-aa3,SCH8,2015-Jan-26 00:00:00,SUR3690,FOR5926,MID6462,PSUR7865,FSUR8859,307bf82d-c57,ebf950e4-2a7,414e813e-e,F,2024-Aug-14 00:00:00,2024-Nov-23 00:00:00,1,a58f07f3,6fe263e9,False,118.0,,,c0953ff4,a98196ee,,130.0,3.0,839.0,811.0,140.0,765.0,130.0,131.0,,,3.0,,ENG,,,1,,,L,,,
3e8ec835-807,SCH2,2012-Feb-20 00:00:00,SUR6803,FOR8451,MID2585,PSUR6682,FSUR3104,3ed86293-e4e,66c68005-0f7,9f1dd0e1-b,F,2023-Nov-05 00:00:00,2024-Dec-08 00:00:00,1,8f1d0334,3f1fcd01,True,126.0,9.0,,f922c483,9bb6a193,8.0,134.0,,729.0,780.0,129.0,786.0,124.0,132.0,,3.0,,,ENG,14,B,,,,,,,
3f16848e-29e,SCH5,2012-Mar-15 00:00:00,SUR7150,FOR7221,MID3507,PSUR9236,FSUR4070,76c6ae63-430,9d9bd581-68d,bf57a772-f,M,2024-Aug-17 00:00:00,2024-Nov-06 00:00:00,1,d1b2caaa,d61da519,False,135.0,8.0,3.0,0c179d53,a17befbc,8.0,123.0,,754.0,777.0,134.0,776.0,132.0,133.0,,,,,ENG,13,,,,2,,,,
41be4345-c0e,SCH3,2018-Nov-06 00:00:00,SUR2635,FOR8334,MID8735,PSUR4392,FSUR8292,419d08ce-8cb,2cd75ed0-2be,80894f40-2,F,2024-Sep-13 00:00:00,2024-Nov-10 00:00:00,1,3b52fe28,ceb0a178,False,127.0,8.0,,d91d9bff,54433b83,8.0,130.0,,755.0,733.0,137.0,729.0,127.0,129.0,,,,,ENG,4,9,,,,,,C,
41d37c9d-866,SCH6,2017-Oct-05 00:00:00,SUR4087,FOR1062,MID3070,PSUR3363,FSUR3986,168cf1c4-2a2,27598591-1de,417c1551-9,F,2022-Jun-24 00:00:00,2024-Oct-21 00:00:00,1,c612d990,4f9274ef,False,136.0,7.0,,9e0300a0,c3723b9b,8.0,128.0,,814.0,760.0,134.0,836.0,124.0,128.0,,3.0,,,ENG,R,,,,,F,L,,
4263c1aa-20f,SCH6,2016-Mar-17 00:00:00,SUR2896,FOR7631,MID5240,PSUR8057,FSUR5007,c16dc5c9-df1,68250627-9b1,e9fef954-e,F,2024-Mar-26 00:00:00,2024-Oct-09 00:00:00,1,40c25f3b,191fc1f9,False,142.0,8.0,,0096c078,20cb1992,,128.0,,775.0,,125.0,780.0,127.0,132.0,3.0,2.0,2.0,,ENG,M,7,,A,,F,,,
42e1c81b-046,SCH4,2011-Jul-01 00:00:00,SUR9122,FOR9616,MID8855,PSUR1395,FSUR4682,0fde8e28-133,f81bfc7f-eef,99682be9-e,F,2024-Aug-19 00:00:00,2024-Dec-12 00:00:00,1,ea8d7f8b,4603a5da,False,129.0,8.0,,93269487,11ed4235,7.0,134.0,,779.0,772.0,128.0,768.0,129.0,,,,,,,13,,,9,,,,,
46a5f26c-5f9,SCH3,2016-Sep-06 00:00:00,SUR6867,FOR9252,MID9923,PSUR3261,FSUR5573,9c13ccbc-09c,aef11483-3f3,3ef9cc5e-2,F,2024-May-26 00:00:00,2024-Nov-09 00:00:00,1,42dbefea,2e814033,False,130.0,,3.0,44bb5a1f,cd79b039,8.0,120.0,,789.0,816.0,124.0,801.0,131.0,136.0,,,,,ENG,3,,,A,,,O,,
476fb5bd-08b,SCH8,2015-Mar-18 00:00:00,SUR9678,FOR2449,MID4668,PSUR7623,FSUR4172,2160e3bd-a3e,1cca1ae3-305,de1f6a2c-f,M,2024-Feb-12 00:00:00,2024-Sep-22 00:00:00,1,eb2f9b4d,21efdb01,False,130.0,8.0,3.0,0718de0d,11a9d6b5,9.0,124.0,4.0,816.0,742.0,129.0,753.0,128.0,128.0,,,2.0,,ENG,E1,,,,,,,,
4994be27-d14,SCH1,2011-Mar-24 00:00:00,SUR6360,FOR2150,MID1320,PSUR3698,FSUR6357,9d0ecdcb-864,72d7791c-dd8,d92c4b82-0,M,2019-May-29 00:00:00,2024-Nov-18 00:00:00,1,1c5b75fa,395180b8,True,125.0,8.0,3.0,33557065,45b4092e,8.0,127.0,3.0,802.0,751.0,124.0,800.0,130.0,139.0,,,,,CYM,9,8,,,,,,A,
4b7f2450-a28,SCH1,2014-Mar-07 00:00:00,SUR2956,FOR2425,MID7676,PSUR2329,FSUR4295,017cedd2-b6c,49a20d02-25c,3a3ff834-d,M,2019-Jul-20 00:00:00,2024-Dec-02 00:00:00,1,2ba4cd82,78b03cce,False,132.0,8.0,,ed70e39c,663372c2,,135.0,,789.0,814.0,121.0,771.0,129.0,130.0,3.0,,,,CYM,14,C,,,,,O,,
4b8d6c3e-e4e,SCH5,2018-Nov-02 00:00:00,SUR3242,FOR4555,MID3941,PSUR7518,FSUR7874,30e778ef-a90,33fd6c61-091,6f9df32d-4,F,2022-May-04 00:00:00,2024-Nov-30 00:00:00,1,ae25c980,9a87d60f,False,131.0,,,5bf86de0,53da881a,8.0,131.0,,763.0,757.0,130.0,785.0,132.0,133.0,3.0,,,,ENG,1,,,A*,,,,,
4d275902-63d,SCH4,2014-Mar-15 00:00:00,SUR2916,FOR3175,MID9876,PSUR5752,FSUR5607,b9cbdfa1-224,d69414c7-bd3,701c3ade-f,M,2024-Mar-06 00:00:00,2024-Nov-01 00:00:00,1,c26c7502,0c5c2568,False,125.0,9.0,,a3018c79,88c07c6e,,126.0,3.0,797.0,815.0,126.0,780.0,132.0,129.0,,,,,ENG,2,7,,,,L,,,
4dbc8a62-839,SCH7,2018-Jun-12 00:00:00,SUR5432,FOR8671,MID9190,PSUR1139,FSUR6760,db6d322e-56c,631a2400-733,517bef93-3,M,2019-Apr-05 00:00:00,2024-Sep-21 00:00:00,1,75cd9d52,49adbc64,False,135.0,8.0,3.0,dafc84a8,224dacdb,9.0,136.0,,739.0,763.0,124.0,787.0,132.0,136.0,,2.0,,,,M,,,,,,,,6
4dbc8a62-839,SCH5,2018-Jun-12 00:00:00,SUR5432,FOR8671,MID9190,PSUR1139,FSUR6760,db6d322e-56c,631a2400-733,517bef93-3,M,2024-Sep-22 00:00:00,2024-Sep-29 00:00:00,2,1dfa3aca,e8fe8d99,,138.0,8.0,,98fc8cb7,78e771bd,8.0,135.0,,790.0,757.0,129.0,773.0,137.0,127.0,,,3.0,,,4,A*,,8,,,,,
4dfb4338-908,SCH8,2012-Oct-04 00:00:00,SUR6456,FOR6459,MID2847,PSUR4861,FSUR5468,f2d73b9e-fe4,5de3baae-96a,26a5f4e2-2,M,2024-Mar-30 00:00:00,2024-Sep-30 00:00:00,1,fa303a83,65e253c6,False,130.0,8.0,,41002936,8a56d10e,8.0,140.0,3.0,796.0,809.0,130.0,750.0,122.0,133.0,,,,,ENG,N1,3,,,,,,,
4e234b4d-bd5,SCH7,2020-Mar-25 00:00:00,SUR1184,FOR8722,MID7133,PSUR9019,FSUR9112,3110881c-cf6,188d26ed-2bc,93c175e8-e,M,2024-Oct-19 00:00:00,2024-Nov-23 00:00:00,1,44295c4f,71425d96,True,133.0,9.0,2.0,5fb65761,28778b77,8.0,127.0,3.0,762.0,825.0,129.0,794.0,129.0,134.0,,,,N,ENG,E1,,,,,,,,NR
4f2de2c1-cd6,SCH6,2010-May-21 00:00:00,SUR1188,FOR8467,MID5137,PSUR9945,FSUR3203,990da3ab-264,0f0df4ee-a50,e72e88e7-9,F,2024-Apr-07 00:00:00,2024-Dec-17 00:00:00,1,bb3d3a6f,e27079ec,False,124.0,8.0,,1510632b,be3328f0,8.0,127.0,,793.0,782.0,124.0,787.0,129.0,128.0,,,,,ENG,11,,,,,O,,B,C
4f4dbc1f-b05,SCH4,2017-Feb-12 00:00:00,SUR7635,FOR9780,MID7132,PSUR1583,FSUR2420,557b49a1-a6d,6f8cdf4d-529,5f94eccb-9,F,2022-Nov-20 00:00:00,2024-Nov-14 00:00:00,1,d4bf372b,bd8d3015,False,126.0,8.0,3.0,9ce999e7,52bfdd87,7.0,125.0,3.0,762.0,787.0,128.0,737.0,127.0,129.0,,,,,PNJA,4,8,,,,,,,
504cefaa-4c2,SCH1,2016-Mar-30 00:00:00,SUR7810,FOR6895,MID2059,PSUR8071,FSUR1816,e0d2b783-a45,ae1631fa-838,dc7d7de9-e,F,2023-Nov-08 00:00:00,2024-Oct-15 00:00:00,1,de4e8130,2ae226c8,False,124.0,8.0,,bf082880,7105cecf,,135.0,,774.0,822.0,123.0,769.0,127.0,133.0,,3.0,,,ENG,10,,,5,,,,,
51611823-18e,SCH1,2014-Apr-17 00:00:00,SUR5777,FOR1616,MID6660,PSUR7434,FSUR6910,7060e853-be8,e4483554-b90,358831e7-0,F,2024-Aug-18 00:00:00,2024-Sep-28 00:00:00,1,76efc407,91ce7c7d,True,133.0,9.0,,40f00730,57f3ecc4,7.0,132.0,3.0,819.0,783.0,138.0,725.0,121.0,139.0,,,2.0,,CYM,12,,,,,,L,,B
51a66a4a-dba,SCH1,2007-Sep-19 00:00:00,SUR8476,FOR6982,MID4778,PSUR2222,FSUR3203,7a899e8a-cf7,d7e5b1d4-c0a,fd76b3bf-b,F,2023-Mar-29 00:00:00,2024-Oct-15 00:00:00,1,7ac31bdd,485c3037,False,133.0,,,e2ddf054,d7cd4eb3,9.0,129.0,,807.0,796.0,134.0,803.0,128.0,126.0,3.0,,,,ENG,7,,,,,,,,
5216b3df-9b9,SCH2,2012-Jul-04 00:00:00,SUR4092,FOR1955,MID6592,PSUR6071,FSUR2040,0d83593c-b95,eabbe98e-0cc,35e5452f-f,F,2023-May-04 00:00:00,2024-Nov-13 00:00:00,1,31a6d22b,e4c19b0c,False,119.0,8.0,,bdbad853,884f440d,8.0,128.0,,791.0,803.0,122.0,719.0,130.0,139.0,3.0,,,,ENG,R,,,,1,,,,
5230c3d6-80b,SCH1,2013-Oct-26 00:00:00,SUR5158,FOR8671,MID4752,PSUR4235,FSUR7414,110ab0a2-980,4fe4c74f-aa5,43e8ee4f-e,F,2024-Apr-14 00:00:00,2024-Dec-15 00:00:00,1,137d7571,fd02dce3,False,125.0,8.0,3.0,a82329c9,0eb03b95,8.0,140.0,2.0,787.0,786.0,125.0,783.0,134.0,134.0,3.0,,,,,2,,,,1,,,9,
525883e7-573,SCH2,2009-Nov-22 00:00:00,SUR7612,FOR9795,MID8583,PSUR1146,FSUR2652,607007d1-8fb,53e11e14-6a4,ef875ab4-4,F,2019-May-10 00:00:00,2024-Sep-16 00:00:00,1,5f600ecb,bb9512a8,True,126.0,8.0,,f7c53377,651c8b2e,8.0,126.0,,784.0,759.0,134.0,751.0,124.0,130.0,,,,N,ENG,2,,,,,,,,
52776bc2-0ae,SCH2,2016-May-10 00:00:00,SUR4684,FOR4628,MID8565,PSUR5675,FSUR9360,94a1fd41-ad7,c7c0f20f-580,2ccc9f84-6,M,2024-Aug-24 00:00:00,2024-Sep-11 00:00:00,1,68d8d09b,d2d8ddde,False,140.0,7.0,,b84a654a,0179e0c2,7.0,126.0,,766.0,697.0,119.0,780.0,134.0,127.0,,,,,ENG,8,,,,,,,,
55967b4a-db9,SCH1,2012-Feb-03 00:00:00,SUR4874,FOR7853,MID3822,PSUR5706,FSUR7225,6082f60c-973,157efd8a-ea4,6818c4db-6,M,2020-Nov-28 00:00:00,2024-Dec-01 00:00:00,1,8406b02c,79d328ca,False,123.0,7.0,,1ecf80a8,351a398c,8.0,125.0,,773.0,806.0,135.0,758.0,137.0,139.0,,,,,,13,,,,,,,,
56e6f777-e9e,SCH2,2018-Oct-25 00:00:00,SUR2113,FOR9775,MID7802,PSUR3502,FSUR3381,fc792ee9-366,759e991f-3ca,8ed05b89-0,F,2024-May-31 00:00:00,2024-Oct-05 00:00:00,1,85e36d72,25c79383,False,127.0,8.0,,8c288eb9,3f98171d,8.0,134.0,,773.0,843.0,126.0,763.0,132.0,132.0,,3.0,,,ENG,M,,,7,1,,,,
577fa18b-a42,SCH6,2019-Jul-30 00:00:00,SUR1646,FOR1195,MID1070,PSUR5504,FSUR8794,2e48f1c0-1cb,1b7cc6ce-e4e,d18887ab-c,M,2024-Feb-28 00:00:00,2024-Sep-14 00:00:00,1,42f0b6f0,2fd28848,True,127.0,,,6a9536b8,aa083f66,,133.0,,783.0,735.0,128.0,791.0,139.0,122.0,,,3.0,,ENG,X,,,,,,,,
592c7b63-67a,SCH5,2009-Sep-11 00:00:00,SUR9295,FOR4624,MID3069,PSUR2087,FSUR9263,8a77c3d4-778,d548d95c-d44,fdc57ca8-6,M,2024-Apr-15 00:00:00,2024-Oct-11 00:00:00,1,551a02aa,2de7bd81,False,131.0,8.0,,861954ee,5753c541,8.0,135.0,,806.0,818.0,125.0,767.0,127.0,133.0,,,,,ENG,E2,,,,,,,9,
592c7b63-67a,SCH6,2009-Sep-11 00:00:00,SUR9295,FOR4624,MID3069,PSUR2087,FSUR9263,8a77c3d4-778,d548d95c-d44,fdc57ca8-6,M,2024-Oct-12 00:00:00,2024-Nov-02 00:00:00,2,5864d146,c97dd633,True,135.0,8.0,,5cec75b1,af0037bf,8.0,129.0,,755.0,784.0,126.0,760.0,133.0,133.0,3.0,2.0,,,GER,9,9,,,,,F,,
599b0699-6d2,SCH7,2009-Aug-05 00:00:00,SUR5287,FOR7700,MID7238,PSUR9697,FSUR7423,7cb32e8a-9a1,42442082-f73,3609d778-f,M,2024-Aug-15 00:00:00,2024-Nov-16 00:00:00,1,723b0f96,7560c2fd,False,127.0,8.0,3.0,093c0fac,5030da57,9.0,124.0,4.0,769.0,782.0,124.0,811.0,130.0,129.0,,,,,ENG,N2,,,,1,U,L,,9
5a69b6d3-776,SCH1,2012-Dec-25 00:00:00,SUR6309,FOR2323,MID6882,PSUR8528,FSUR6999,0c215631-2cf,328211a7-403,6953bf3a-7,M,2023-Dec-05 00:00:00,2024-Dec-19 00:00:00,1,5f435680,6bb50199,False,129.0,8.0,4.0,67c20268,c4fedd8c,8.0,139.0,,781.0,783.0,137.0,793.0,131.0,131.0,,,,,ENG,13,,,,,N,,9,
5a90b96e-dc0,SCH4,2019-Mar-07 00:00:00,SUR9003,FOR4934,MID2935,PSUR4501,FSUR8360,bb9b1046-c3a,56b15091-48f,38358356-4,M,2021-Sep-26 00:00:00,2024-Oct-04 00:00:00,1,68a62360,e66cbcea,True,126.0,8.0,,7763a638,80030bad,7.0,127.0,,775.0,791.0,131.0,818.0,130.0,134.0,,3.0,3.0,,ENG,N2,,,,2,,L,,
5ab99577-d4b,SCH4,2019-Mar-19 00:00:00,SUR5946,FOR6631,MID3024,PSUR7712,FSUR4051,a8260c7c-c25,fec6e378-09b,97c82760-c,M,2024-May-05 00:00:00,2024-Nov-10 00:00:00,1,efb05069,f138156f,False,130.0,8.0,,b39ec138,3767bf35,,136.0,,780.0,765.0,135.0,727.0,126.0,130.0,,3.0,,,PNJA,11,A*,2,,,,U,C,
5b9df564-b4b,SCH5,2014-Jun-18 00:00:00,SUR2548,FOR9289,MID8121,PSUR2189,FSUR8697,aff93e87-5e5,b50bfad4-de5,6d9effbc-2,F,2020-Jan-05 00:00:00,2024-Dec-08 00:00:00,1,050c0cf5,614c9b8f,False,131.0,8.0,,26e03589,ef2da5a2,8.0,132.0,,794.0,760.0,126.0,804.0,138.0,133.0,,3.0,2.0,,,R,,,,,,N,,
5dd4fb52-0fe,SCH1,2017-Dec-03 00:00:00,SUR3402,FOR5968,MID8543,PSUR6519,FSUR4679,ec2aa66b-2c1,79c8e430-972,d0408b8d-7,M,2024-Jan-24 00:00:00,2024-Sep-09 00:00:00,1,b7380476,5c138cc0,,124.0,9.0,,4fd4a5c1,4efb20f4,8.0,135.0,,815.0,758.0,124.0,758.0,129.0,127.0,,3.0,4.0,,ENG,6,,,,,F,,,
5e9b0399-7ad,SCH3,2017-Jul-05 00:00:00,SUR8966,FOR9249,MID1543,PSUR8682,FSUR7115,46c4fbc2-352,a08f77a1-441,21875d9e-9,F,2024-Sep-26 00:00:00,2024-Nov-12 00:00:00,1,9bda7ec5,111475bd,False,132.0,9.0,,2adf2be6,8263f1a0,8.0,131.0,,794.0,799.0,133.0,785.0,133.0,128.0,,,3.0,,ENG,9,,3,,1,O,,,
5ea80c75-03d,SCH8,2015-Jan-20 00:00:00,SUR1301,FOR5596,MID5710,PSUR2206,FSUR6362,d6b1b16f-de4,1d7e7cbb-030,d71c23c8-d,F,2024-May-20 00:00:00,2024-Nov-06 00:00:00,1,e5ffd105,22de7133,,132.0,8.0,,2d22437e,64907c71,7.0,129.0,,783.0,809.0,131.0,767.0,131.0,123.0,,3.0,,,GER,R,,,,,,F,,
