pupilonrolltableid,NativeId,dob,surname,forename,middlenames,preferredsurname,formersurname,upn,formerupn,uniquelearnernumber,sex,entrydate,pupilonrollorderseqcolumn,sourceid,schoolcensustableid,hoursatsetting,schoollunchtaken,parttime,topupfunding,unitcontacttime,termlysessionspossible,senunitindicator,resourcedprovisionindicator,moveoffrollflag,fundedhours,missingaddress,duplicatenotfunded,extendedhours,eligibilitycode,dafindicator,ethnicity,yssa,servicechild,language,classtype,enrolstatus,boarder,plaa,senprovision,ncyearactual,eyppr,eyppbf,youngcarer
4a4f1267-156,SCH7,2015-May-09 00:00:00,SUR5571,FOR3641,MID2131,PSUR9440,FSUR1567,ebcc13a0-c41,12a3399f-041,5c1490bb-7,M,2024-Apr-08 00:00:00,1,bd6f725b,b88dbffd,789.0,True,False,False,14.0,128.0,False,False,fd210098,,3ce7a0c1,e53cbd6b,,,,BOTH,,N,,,,6,C,K,8,,,
4a5cb488-dc9,SCH3,2018-Feb-21 00:00:00,SUR6849,FOR8432,MID6246,PSUR6906,FSUR1185,2695f778-b48,d22d8fa9-347,e116acbb-5,M,2024-Jul-31 00:00:00,1,87005bf0,9be7aa09,738.0,,True,False,,128.0,False,False,ec4a92b4,,fb8d9cb5,286f8468,,,False,WBOS,,,ENG,,F,,,E,R,,,
4a5f4da9-dc9,SCH2,2014-Oct-12 00:00:00,SUR4805,FOR1456,MID5525,PSUR3908,FSUR8608,9535eac9-269,5c1bc51e-9d4,cfc1ff03-c,F,2021-May-02 00:00:00,1,17a62612,f504dca5,797.0,False,False,False,,132.0,False,False,8c5a7be0,,a38eb455,0c5cc56d,,,,AIND,Yes,,ENG,,F,,C,,11,No,,
4a67cfa3-c05,SCH7,2009-May-15 00:00:00,SUR8021,FOR8108,MID4132,PSUR2829,FSUR6238,eeb69eef-0bd,a9e7fc05-c40,078ede2f-1,M,2023-Apr-10 00:00:00,1,dd344f04,29eeff6e,778.0,True,False,False,,131.0,,False,b5d3a8cb,,790a6c9d,28696fc9,,,,OFIL,,,ENG,,,,,K,10,,,
4a6ab1a6-254,SCH7,2011-Sep-13 00:00:00,SUR2702,FOR3087,MID9118,PSUR4001,FSUR3216,392a244f-216,09106769-4ee,69bab94e-e,M,2021-Apr-11 00:00:00,1,b3d1d37f,895096c7,734.0,,False,True,,128.0,True,False,b454de05,,4ef1228d,6d9638cd,,,,ABAN,,,,,,,C,E,3,No,,
4a775cfb-03a,SCH5,2018-Jan-18 00:00:00,SUR8020,FOR6843,MID1313,PSUR5270,FSUR9733,8b8b9eaa-478,9baba3db-714,b96b9f51-e,M,2020-Apr-02 00:00:00,1,a2587c8d,052f29ea,770.0,False,True,False,,135.0,True,False,0635fdbf,,1c92a2a0,4893ecd9,,,,MWAP,,,ENG,,,,C,N,R,,,
4a853bde-d8c,SCH8,2017-Oct-21 00:00:00,SUR6442,FOR2131,MID8627,PSUR7782,FSUR7371,c39ec419-c4e,d433431f-e91,cf5c4602-8,M,2024-May-24 00:00:00,1,0f16af90,52746d28,777.0,True,False,False,,131.0,False,False,83a68d64,,3d8784fd,3370e01d,,,,OLAM,,,ENG,,,,N,K,4,,,
4a91c734-3d0,SCH7,2008-Apr-06 00:00:00,SUR6762,FOR8858,MID7480,PSUR6372,FSUR6171,ebeee149-0e9,86cb4c10-3a3,974accc6-0,M,2022-Oct-27 00:00:00,1,6fd0b30b,e8dad743,792.0,True,,False,15.0,132.0,False,False,318d9edd,,a8314d1a,8c4cfa60,,,,WOTW,,,ENG,,,,,K,5,No,RB,
4a947b91-178,SCH7,2020-Jun-23 00:00:00,SUR7260,FOR5475,MID4325,PSUR3348,FSUR8298,64836317-bd3,99dbd78f-ffb,c8bf1081-0,F,2023-Aug-02 00:00:00,1,a07d9599,debc975c,816.0,True,False,False,,129.0,False,False,5efc737c,,c730df6c,291eeece,,6.0,,OARA,,N,ENG,,F,,N,E,M,,,
4a95f90a-0b9,SCH2,2008-May-04 00:00:00,SUR8637,FOR7605,MID2751,PSUR7132,FSUR7908,870673b9-e8e,bc74b3d1-d29,da13f657-1,M,2022-Dec-11 00:00:00,1,a8bac347,7494376c,799.0,,True,False,,133.0,False,False,d103ded5,,1a377fdc,243e557c,,,,MAOE,,U,ENG,,S,,A,N,13,,,
4a991b3c-d46,SCH3,2017-Nov-19 00:00:00,SUR5656,FOR6414,MID9881,PSUR7318,FSUR5606,fa0903c9-dfa,c837eb3e-4ae,59931937-b,F,2022-Sep-02 00:00:00,1,e7099497,ab496b51,778.0,True,False,False,,121.0,True,False,f3fb4e8a,,4af5373a,f01ffcde,,,,WCOR,,,ENG,N,S,,G,,10,,,
4a9cd6e0-6f2,SCH5,2018-Jan-25 00:00:00,SUR6582,FOR9044,MID6366,PSUR2761,FSUR4220,c446ce92-78b,c12ed992-ccd,73b0f28a-d,M,2022-Jun-10 00:00:00,1,4b5b38ae,50f2116e,806.0,True,False,False,,130.0,False,,12e8b97f,,8b0f0279,fc135013,,,,CHKC,Unsought,,ENG,,C,,N,,12,,,
4aa118d5-03d,SCH1,2011-Apr-18 00:00:00,SUR2438,FOR7437,MID7900,PSUR1510,FSUR7935,3a743787-531,cc77a32c-1e5,db13b354-6,M,2022-May-19 00:00:00,1,b4dfb367,b8dfe988,808.0,True,True,False,,131.0,False,False,5a1ba7ff,,0c0dcafc,c3ee3e62,,,,MBOE,No,,ENG,,O,,C,N,7,,,
4aaa53a0-01f,SCH4,2012-Jun-13 00:00:00,SUR4790,FOR7627,MID4957,PSUR8603,FSUR4626,544f82c3-003,afe10355-bf2,4ba0605b-f,M,2025-Jan-22 00:00:00,1,f24aca28,84f12f2e,759.0,False,,False,16.0,122.0,True,False,a329ccd5,,fb1e8e2a,6ca485d1,11.0,,,WEUR,,,CYM,,C,N,,A,7,,,
4ab09b07-16d,SCH7,2017-Jul-01 00:00:00,SUR8940,FOR7391,MID6592,PSUR2047,FSUR9243,9e8949ca-baa,d9a54ace-213,e3407691-9,F,2022-Sep-25 00:00:00,1,045987c8,4caf7eec,846.0,False,False,True,,134.0,False,False,177afe57,,e9f24438,e9033676,,,,BSOM,,U,ENG,,,,,E,R,,RB,
4ab140b7-173,SCH7,2017-May-07 00:00:00,SUR7486,FOR6359,MID4143,PSUR6025,FSUR1171,6fd0abe9-824,db05fc2f-617,b92f25b5-6,F,2022-Feb-15 00:00:00,1,0bad8f8c,80f51c9f,794.0,False,False,True,,132.0,True,False,c4afc954,,dd23831f,c53a9150,,,,BSLN,,,ENG,,M,,,S,13,,,
4ac0eadc-d91,SCH4,2014-Nov-12 00:00:00,SUR7882,FOR2373,MID9562,PSUR9027,FSUR5411,b85a227a-f53,2e3fcccb-f48,2e8e3094-2,F,2022-Dec-02 00:00:00,1,c96492b7,0ab6002d,804.0,True,False,False,,131.0,False,False,ee0e94ad,,5c1a3b08,1be68216,,,,MWBC,"Sought, no reply",,ENG,,M,,N,E,8,,,
4acad2ea-f4a,SCH8,2019-Mar-30 00:00:00,SUR6725,FOR7967,MID9414,PSUR9088,FSUR8517,b4c2d099-0da,20720c87-204,ced3a236-e,M,2022-Sep-17 00:00:00,1,84148f1c,5fc87d9c,769.0,True,False,False,,133.0,False,False,56f9d0af,,1a8cd313,f6746fad,,,,BCON,,,ENG,,O,,A,S,14,,,
4acb3ccd-ac6,SCH3,2015-Mar-28 00:00:00,SUR8575,FOR1533,MID5076,PSUR4381,FSUR6387,f06caac4-749,10970674-b29,be923a5e-5,F,2024-May-19 00:00:00,1,99f44952,32413169,772.0,True,False,False,20.0,120.0,False,False,229b2e70,,5ae73224,de8688e5,,,,WPOR,,,BNG,,S,,A,,2,,,
4ad27b7d-d8e,SCH3,2019-May-24 00:00:00,SUR7946,FOR6744,MID7246,PSUR7331,FSUR8694,659098a1-89e,dea89e8c-a59,558eccc9-9,M,2022-Oct-28 00:00:00,1,5795d5bb,d8248526,806.0,False,,True,,134.0,,False,5155dfe6,,2f4cdd3b,f2f0263d,,,,WTUC,,,ENG,,,,G,,14,,,
4adc0fd1-082,SCH7,2016-Sep-13 00:00:00,SUR7635,FOR4713,MID9799,PSUR2333,FSUR1451,726c1997-56e,3e50e26e-9a1,b09a04dc-0,F,2024-Mar-04 00:00:00,1,da6859bf,1ff12970,716.0,True,False,True,,128.0,True,,ba31ba66,,2d384592,baf6f6a2,,,,BGHA,,,,,F,,A,,N2,,RO,
4adf8c1a-b06,SCH1,2019-May-16 00:00:00,SUR1508,FOR1751,MID6358,PSUR9545,FSUR3892,21dfb030-931,3df0176a-c53,1ad9c0bd-b,F,2025-Mar-13 00:00:00,1,86509da6,11e491e7,813.0,True,False,,23.0,127.0,False,False,6123a475,,caf211d2,280fafcc,,,,,,R,ENG,,,N,R,,5,,,
4ae0909f-674,SCH2,2020-Mar-24 00:00:00,SUR7681,FOR7105,MID3448,PSUR9729,FSUR6057,842cde21-195,d821a302-8f8,e9f9c27f-b,F,2022-Jun-07 00:00:00,1,f2d23d01,d3336060,834.0,True,False,True,25.0,135.0,False,,ff56b58b,4.0,acec2146,eb1f1292,,,,COCH,Yes,,GAL,,F,,,P,6,,,
4ae114d9-dc0,SCH2,2017-Mar-06 00:00:00,SUR9407,FOR6450,MID4847,PSUR9495,FSUR8375,36654806-398,fa24e437-708,bc9afd6f-9,F,2021-Nov-30 00:00:00,1,037e94a1,70faaf10,836.0,True,False,True,,137.0,False,False,d33008ee,10.0,1705db09,18dcd302,,,True,MOTH,,,ENG,,C,,R,,M,,,
4af23318-c11,SCH5,2012-Feb-01 00:00:00,SUR8840,FOR1833,MID6284,PSUR4569,FSUR5664,c393694b-edb,fa3ac6c6-a07,51a32900-c,F,2023-Jun-10 00:00:00,1,0813fe15,55817472,798.0,True,False,False,,127.0,False,False,3582c547,,11d585ce,7792fe8b,,,,ASNL,,Y,ENG,,,,C,,6,,,
4afa073a-d25,SCH1,2011-Dec-19 00:00:00,SUR9889,FOR9510,MID4649,PSUR6230,FSUR1464,4019e28a-f72,572fd992-6de,ec5a21ae-4,F,2023-Dec-22 00:00:00,1,59d08fc3,625ef285,793.0,True,False,False,,133.0,False,,5b980f71,,6c0057cb,9084b4cc,,,,BWEL,No,U,TRI,,C,,R,,N2,No,,
4b16a74b-818,SCH7,2009-Aug-18 00:00:00,SUR6125,FOR9837,MID1673,PSUR2608,FSUR8600,90052e5a-a34,f82c315f-82d,e950821b-3,F,2018-Sep-21 00:00:00,1,6e8dc15b,5abe1450,756.0,True,False,False,,131.0,False,False,fd4aa143,,4e1eaa56,bbca564b,,,,WPOR,,,ENG,,,,,K,3,No,,
4b170ea9-19a,SCH4,2008-Mar-06 00:00:00,SUR5710,FOR3374,MID1927,PSUR9559,FSUR8336,0e22b541-d06,3c7b8140-0d8,b49023f0-7,M,2023-Nov-14 00:00:00,1,982145fd,a95c7167,747.0,False,False,False,,131.0,False,False,03c1c201,,e9b8077c,e154c72b,9.0,,,ABRI,,,ENG,,,,G,,10,,,
4b22307c-b9c,SCH6,2012-Apr-30 00:00:00,SUR6802,FOR1546,MID6200,PSUR7205,FSUR7198,9b68cf16-4a6,3529f125-67a,46cbdbbc-7,F,2020-Mar-15 00:00:00,1,ce70cec1,de75a67d,727.0,True,False,False,,132.0,,False,b6f7b880,,58a18e0a,b24dc5a9,,,,WENG,,,TRI,,,,,,,No,,
4b27c4ac-2e3,SCH6,2012-May-10 00:00:00,SUR6394,FOR5654,MID6865,PSUR4946,FSUR2521,70e73533-ea3,8ee23b4a-ce1,8d1f1f0c-7,F,2019-Apr-17 00:00:00,1,e5ab6b16,552b5c60,733.0,False,False,False,,122.0,False,False,85d39e50,,f07ff2d8,3ea50a8b,,,,BWEL,,Y,ENG,,O,,A,,11,,,
4b297d50-c13,SCH1,2016-Jul-01 00:00:00,SUR5225,FOR1555,MID3608,PSUR8759,FSUR4547,dbfd24a8-f7d,04cc2ca8-89d,2a83e6a8-f,F,2020-Sep-28 00:00:00,1,a646ac3e,d11ef7c5,753.0,True,False,False,12.0,127.0,False,False,2a208d23,,38e157bd,7adbce34,,,,WROR,,,ENG,,,,,P,7,,,
4b3226f3-c81,SCH6,2012-Jan-22 00:00:00,SUR2250,FOR2353,MID9677,PSUR3620,FSUR6501,e9308998-4a5,4a74ce91-a02,23d2791f-7,F,2021-May-17 00:00:00,1,2d074170,e9a2d140,741.0,,,False,,129.0,,False,b8725bb1,,68da96ec,391aa42a,,,False,BSLN,,,ENG,,M,N,,E,8,,,
4b32e294-2b9,SCH1,2018-May-29 00:00:00,SUR6213,FOR4426,MID7579,PSUR7359,FSUR8412,a314d5ee-024,2d0f8f79-4cb,8d5159cc-6,M,2021-Dec-01 00:00:00,1,026cef29,2ae78f82,792.0,True,True,False,,132.0,False,False,4d7e56ca,,7aae6cb5,e227fbb0,8.0,,,BSOM,"Sought, no reply",,GER,,,,,P,N2,,,
4b3d09dd-9a9,SCH1,2013-Oct-31 00:00:00,SUR6975,FOR9737,MID4706,PSUR9365,FSUR6952,d823ca3f-755,7e03e8b3-952,b7c36a6b-3,M,2022-Aug-23 00:00:00,1,cda21dab,9633b9d9,746.0,False,False,True,22.0,126.0,,False,b363e101,,83f1b0dc,f94139aa,,,,OIRN,,,ENG,,,N,,A,6,No,,
4b3fc2a3-1a1,SCH1,2008-Mar-17 00:00:00,SUR8002,FOR2237,MID9900,PSUR8161,FSUR1348,940a23cc-717,ba6643f5-cd3,72e0826c-e,F,2024-Jan-24 00:00:00,1,c8161177,065e3768,734.0,False,False,True,12.0,124.0,False,False,677d9fbe,,d9b0e7be,63a57b79,,,,,,,CYM,,,,C,N,N2,,,
4b4d17d0-b6b,SCH4,2015-Jan-25 00:00:00,SUR5158,FOR8681,MID1612,PSUR5468,FSUR1964,0176c9a1-e6e,b64caf90-286,e8df9cdd-6,F,2019-Oct-26 00:00:00,1,48c9c7be,fb61b69f,804.0,True,False,False,,125.0,False,False,5bf23f90,,ce714268,48285ad6,,,,BANN,No,R,GER,O,,N,G,E,3,No,,
4b637827-709,SCH5,2019-Oct-20 00:00:00,SUR7210,FOR7143,MID7480,PSUR4493,FSUR7960,0ab28c4e-a68,9fb94968-6e3,ffa2be23-a,F,2019-Sep-28 00:00:00,1,52bfac7d,7ae52519,792.0,True,False,False,17.0,137.0,True,False,83b265ae,,45c241f3,74487159,,,,OOEG,,,ENG,,,,,,N2,,,
4b66962a-922,SCH3,2016-Jul-19 00:00:00,SUR3416,FOR5657,MID8711,PSUR5606,FSUR6360,f44fd12b-c0f,ebf0342b-962,2e164b4c-f,F,2024-Jun-04 00:00:00,1,083fe27e,a79b9898,779.0,True,False,False,,127.0,True,False,e0afca50,,3129f85f,31a985b3,,,,OLEB,,,ENG,,,,,E,1,,,
4b74773b-879,SCH5,2009-May-14 00:00:00,SUR3274,FOR9933,MID5153,PSUR9297,FSUR5781,7abdc8ff-da0,7970e9a5-bcd,6bdd0808-1,F,2019-Mar-31 00:00:00,1,1925e0bc,db042264,784.0,True,False,,,137.0,False,False,a61577af,,107c2229,b96eacb8,,,,BOTB,,,ENG,,S,,,N,11,,,
4b7f2450-a28,SCH3,2014-Mar-07 00:00:00,SUR2956,FOR2425,MID7676,PSUR2329,FSUR4295,017cedd2-b6c,49a20d02-25c,3a3ff834-d,M,2024-Dec-03 00:00:00,1,b26fb737,3ab3ded5,791.0,False,True,False,,135.0,False,False,4330bc12,,813280d8,40fcf643,,,,AAFR,,N,PNJA,,C,,,S,E1,No,,
4b8100b9-d65,SCH2,2013-Apr-21 00:00:00,SUR2089,FOR1897,MID7993,PSUR6320,FSUR7204,f4a22d6a-8ce,af5243c0-ade,6acbb7da-1,M,2022-Feb-06 00:00:00,1,f07b9a51,bff5c941,776.0,True,True,False,21.0,130.0,False,False,6a92bb34,6.0,3cc704a7,e5bd28b5,,,,BGHA,,,ENG,,C,N,,S,R,,RO,
4b8bb898-b4d,SCH3,2015-Mar-24 00:00:00,SUR9462,FOR3105,MID6085,PSUR7629,FSUR1080,dd90346a-6c8,0b734039-dfd,4c805604-5,M,2024-Apr-30 00:00:00,1,ee1e1dd4,73e2ccd5,760.0,False,True,,,133.0,False,,c1883260,,6d8e04b3,f45bcb28,4.0,,,OTHA,,,ENG,,C,,,E,5,,,
4b8d6c3e-e4e,SCH2,2018-Nov-02 00:00:00,SUR3242,FOR4555,MID3941,PSUR7518,FSUR7874,30e778ef-a90,33fd6c61-091,6f9df32d-4,F,2024-Dec-01 00:00:00,1,319e64c8,8095929b,833.0,False,False,True,,131.0,False,False,a1cc6b24,,e110b76e,26292d1c,6.0,,,OARA,,,ENG,N,,,,E,5,,RB,
4b905e67-20a,SCH5,2009-Jan-31 00:00:00,SUR5164,FOR1537,MID2540,PSUR2450,FSUR8122,2fb6a075-5d7,8b421be7-bd3,e28e5421-d,M,2021-Nov-27 00:00:00,1,e89b597d,fa159054,795.0,False,False,False,,124.0,False,False,355b9fa6,,a54109ba,7e4e420c,,,,WWEU,,,ENG,,O,,,,3,No,,
4b94e021-a26,SCH5,2016-Jan-18 00:00:00,SUR2527,FOR1332,MID2773,PSUR7323,FSUR2098,66dc15ec-0c5,b7560aac-b7d,773cc7df-b,M,2019-Jan-31 00:00:00,1,283248b4,8f6088f7,787.0,True,False,False,,127.0,False,False,eb21d3fd,,16adefc2,dfaed153,,,,CHKC,,N,PNJA,,M,,G,,13,,RU,
4b9613fd-7f5,SCH1,2015-Feb-14 00:00:00,SUR1483,FOR4177,MID5469,PSUR9523,FSUR4902,d3ea8b49-efd,c56a22df-f69,3ac51841-c,M,2021-Mar-05 00:00:00,1,f4f00729,6b86bae4,777.0,True,False,False,,133.0,False,True,50508196,,8bf6a394,a353a988,,,,AOTA,Yes,,ENG,,F,,,,13,,,
4b9c5f5e-650,SCH8,2015-Feb-27 00:00:00,SUR3471,FOR3417,MID7739,PSUR2288,FSUR4784,d05df5f9-d45,7429cf64-62a,ddbf7895-8,M,2022-Dec-25 00:00:00,1,b27d28ce,dc82f035,782.0,True,False,False,,137.0,,True,f4aee58d,5.0,7f8cd677,07d9d608,,,,WGRE,,Y,ENG,,,,G,,14,,,
4b9ca702-2eb,SCH8,2011-Oct-29 00:00:00,SUR4144,FOR1000,MID3451,PSUR1929,FSUR6457,73509ab3-af0,dbd1c22d-c7b,db93bfe7-e,M,2023-Sep-06 00:00:00,1,1f4b49e4,3eb54106,764.0,True,True,False,,132.0,False,False,5b32ec56,,69b3d7de,2068fbd1,,,,MABL,,Y,ENG,,C,,N,,3,,,
4b9f43d9-72d,SCH8,2014-Nov-17 00:00:00,SUR9202,FOR7242,MID1685,PSUR7296,FSUR8289,5561a021-4a2,b00f457a-1e1,9768da73-c,F,2021-Feb-27 00:00:00,1,30d361ee,f9a0e90e,797.0,False,False,False,,130.0,False,False,a395eb6c,,75555d57,7b08292c,,,,CSNG,,N,ENG,,,,,N,5,,,
4b9fa890-941,SCH8,2014-Nov-05 00:00:00,SUR3614,FOR8237,MID7441,PSUR8389,FSUR7558,6fcd76e9-346,7d24c16e-6b5,70a35723-4,F,2022-Nov-09 00:00:00,1,51a617e4,e2c0fa8c,790.0,False,False,False,,136.0,False,False,94a9aa35,,e89b0c88,a0b6802d,,,,BSLN,,,ENG,,,,,E,14,,,
4baddc82-809,SCH5,2008-Jul-18 00:00:00,SUR4365,FOR8570,MID3975,PSUR5203,FSUR3365,b563bb5f-2da,11e5b8f9-2fe,0997bbc4-b,F,2019-Feb-11 00:00:00,1,5da443c3,c92a0ed3,821.0,,False,False,,129.0,False,False,f5e4d5c5,,d3c06ea5,66636913,,,,AKAO,Unsought,,ENG,,F,,G,K,14,,RU,
4bbe5569-bfb,SCH8,2018-Nov-06 00:00:00,SUR8317,FOR7847,MID1948,PSUR4570,FSUR8197,b8d797bd-142,80e31f84-3a8,e9514b45-e,M,2019-Oct-08 00:00:00,1,2538bcec,c9114ac4,797.0,True,,False,,134.0,False,,55926f61,,05427ef8,b1e08a99,,,,OLEB,,Y,GAL,,S,,,S,E1,No,,
4bc31f60-17a,SCH6,2015-Jul-27 00:00:00,SUR7257,FOR7281,MID6571,PSUR3649,FSUR5040,0cf5d872-6aa,1e6e6070-9b1,79aa3a25-1,F,2021-Jul-23 00:00:00,1,776a0613,8aa2e840,784.0,False,True,True,4.0,135.0,,False,c7f5c8ee,,bd79a864,d08d885f,,,,WKOS,,,ENG,O,S,,N,,4,,RU,
4bc54f6d-84d,SCH4,2018-Jun-28 00:00:00,SUR3533,FOR2196,MID1295,PSUR2945,FSUR6215,653920a8-31c,fde6be27-315,ad4806a1-1,M,2019-Feb-10 00:00:00,1,f66bb4ea,a8f633ac,783.0,,True,False,14.0,122.0,,False,c75adf8a,,7357c2f1,0a1b73b6,,,,APKN,,N,ENG,,C,N,G,,E1,,,S
4bcf8c54-cc9,SCH4,2013-May-03 00:00:00,SUR7019,FOR1599,MID2046,PSUR5976,FSUR7502,be98ed54-f67,11f9493f-6da,3b5fb58c-4,M,2019-Aug-02 00:00:00,1,b9645078,ee6ae7b9,723.0,True,False,,,132.0,True,,7fac09b6,,1c60ea43,dc745538,,,,WGRK,,,ENG,,M,,,,2,,,
4bd30d11-c8d,SCH3,2014-Apr-28 00:00:00,SUR4136,FOR4917,MID9025,PSUR5568,FSUR4271,67b7f256-6fe,9bae78c8-f2b,6dc984d2-a,F,2019-Aug-23 00:00:00,1,ea75717c,2bb9824b,764.0,True,,False,,134.0,False,False,296abf35,,dccb6c8a,e801d8f4,,,,MBCH,Yes,,CYM,,S,,,,14,,,
4bd7ae8a-314,SCH5,2008-Jun-09 00:00:00,SUR6637,FOR9166,MID1928,PSUR8568,FSUR4285,48d7dfe2-83d,a3b651f1-365,4c41a350-c,M,2022-Nov-20 00:00:00,1,d5cb3a98,a02ce253,805.0,True,,False,,119.0,True,False,4e4ddca1,,10263185,d57d8166,5.0,,,WROG,,R,CYM,,F,,,,11,,,
4bde5e06-6f1,SCH4,2010-Oct-12 00:00:00,SUR6721,FOR1973,MID3425,PSUR7773,FSUR3618,f5f345fa-bc2,83113793-44e,8b7a8e44-3,M,2023-Jan-30 00:00:00,1,99946dc5,ef51c3b3,789.0,True,False,True,,128.0,True,False,5c68dbde,,b58b5efd,55840ffd,,6.0,,WOTH,Unsought,,ENG,,,,G,,E1,,,
4be054fd-858,SCH8,2013-Apr-17 00:00:00,SUR6703,FOR9326,MID9115,PSUR6483,FSUR1354,6eea11bb-64e,03c461d7-861,86c89ab3-d,M,2019-Aug-30 00:00:00,1,ffd3442e,df26e4e3,781.0,,False,False,,126.0,False,False,4b068667,,9a32fe07,abf7151c,,,,WIRI,,,ENG,,F,7,,,10,,,
4bed721f-784,SCH1,2014-Dec-29 00:00:00,SUR1750,FOR8933,MID6641,PSUR7750,FSUR5289,e52c74c7-581,e1a56258-303,316a7117-4,F,2023-Sep-10 00:00:00,1,8825a38d,d2c3e3b6,847.0,False,False,False,,133.0,False,False,df14db39,8.0,faf8cd82,4ab85cc8,,,,MBOE,,Y,,,,,A,N,2,,,
4bf48695-275,SCH2,2019-Aug-07 00:00:00,SUR6448,FOR9540,MID2419,PSUR5253,FSUR2753,0bb170dd-594,e136851d-3ad,e2e26324-b,F,2020-Oct-15 00:00:00,1,3ad849b8,9d1d6ec4,734.0,True,False,False,18.0,131.0,False,False,9f9266af,,4f45f36f,8a83ecf2,,,,CHKC,,,CYM,,O,,,,M,,,N
4c01337e-9a5,SCH6,2014-Jul-24 00:00:00,SUR6552,FOR1329,MID5209,PSUR2225,FSUR9322,26df356c-2e4,7c295cfc-119,34185f71-0,F,2022-Sep-27 00:00:00,1,a47e79f9,dd99bd03,758.0,False,False,False,,129.0,False,,5ff60fd3,,f9db322e,87c84bff,,,False,BSUD,No,,PRST,,O,,,E,1,,,
4c0de53d-19c,SCH1,2019-Jun-08 00:00:00,SUR2062,FOR1584,MID7731,PSUR5870,FSUR9393,8dac4f96-fcb,d1846c7e-2a8,ba6e467d-0,F,2019-Nov-15 00:00:00,1,e0713c38,016f85bb,729.0,True,True,True,,134.0,True,False,09ab90f0,7.0,8e22b0e3,564f398b,,,False,OTHA,,,CYM,,,,,S,14,,,P
4c0e7851-3a5,SCH3,2014-Sep-27 00:00:00,SUR2357,FOR2662,MID4919,PSUR3338,FSUR4999,fd5a83d9-e1a,a2be6da2-38f,3ff088d4-3,M,2019-May-14 00:00:00,1,60b351ae,cc1191aa,751.0,True,False,,,130.0,False,False,e752456a,,d017faff,eb849255,8.0,,,OFIL,Unsought,,ENG,,O,,A,,E1,,,
4c15a800-633,SCH8,2010-Oct-15 00:00:00,SUR9392,FOR9166,MID8763,PSUR7072,FSUR3533,c8ace565-f75,7310a9cb-ee6,031eaf30-6,M,2023-Aug-28 00:00:00,1,b25d6144,50381664,,True,False,False,27.0,130.0,False,False,a8e3986a,,f7d61d27,7105f4f7,,,,WBRI,,,ENG,,O,N,,E,7,,,
4c1c1051-60d,SCH3,2019-Apr-24 00:00:00,SUR9866,FOR5676,MID6910,PSUR3572,FSUR2389,12e4d2cf-92b,73d3b435-372,60e08fd0-5,F,2022-Jul-31 00:00:00,1,b7551f12,e297b7b8,783.0,False,True,,,137.0,False,False,6b8c008b,,0cb735c4,14a669fd,,,True,ABAN,,Y,ENG,O,O,,,P,7,,,
4c1eb601-3c5,SCH4,2009-Jul-31 00:00:00,SUR6394,FOR9433,MID6490,PSUR1205,FSUR8528,7b619ea3-369,c074559c-1ec,ea0706b3-d,F,2024-Mar-24 00:00:00,1,b5f3e89f,a67650d4,757.0,False,True,True,,137.0,False,False,6750346a,,fcbd5b20,43063c1a,,,True,AKPA,"Sought, no reply",,ENG,,M,N,R,P,6,No,,
4c31398f-3f2,SCH4,2009-May-24 00:00:00,SUR2168,FOR5461,MID5822,PSUR8380,FSUR4585,8ad335d5-b52,9de0a7f5-111,99099af5-8,M,2021-Jun-21 00:00:00,1,4e6a4c71,f1b62be9,764.0,True,,True,,136.0,False,False,89512369,,6ae96818,e9170201,8.0,,,WBRI,,,ENG,,,,,,5,,,
4c3c23e2-54f,SCH1,2016-Sep-29 00:00:00,SUR7417,FOR6742,MID5101,PSUR1204,FSUR6575,c1258389-0e5,44b5bf19-948,a69c3cbd-d,M,2019-May-13 00:00:00,1,d3b65034,a3bef9a3,714.0,True,False,False,,123.0,False,False,2b51fbb0,6.0,23b03b1d,cd458f4b,,,,OOTH,,,ENG,,O,,,E,E2,,,
4c3c812a-f68,SCH1,2008-Jul-06 00:00:00,SUR9561,FOR8819,MID6591,PSUR9869,FSUR9117,4f0295a5-619,03ab7948-c15,86308e4c-0,M,2018-Oct-18 00:00:00,1,26131434,00112c7d,812.0,True,,False,,130.0,False,False,d3f557a2,,66c72fdd,ae19516a,,,,WALB,,R,ENG,,,,A,E,N2,,,
4c4ac40e-67e,SCH5,2012-May-02 00:00:00,SUR8520,FOR1251,MID9281,PSUR2917,FSUR9865,20259d7b-202,bf6bc905-e37,74fb475e-7,M,2019-Apr-18 00:00:00,1,4256090e,5b7659eb,771.0,True,False,False,,133.0,False,False,b1cc4fe8,,f95264d5,69803f8a,,,,BAFR,,N,ENG,,O,,,E,11,,,
4c4d69ec-d5f,SCH8,2013-Feb-12 00:00:00,SUR5031,FOR5335,MID4385,PSUR2434,FSUR4892,19291560-844,344d4adf-3a0,13f824fe-3,M,2021-Jul-13 00:00:00,1,184ce38d,1be835a6,688.0,True,False,False,,127.0,True,False,46b8fecd,,2fb2e171,0a87285e,,,,WROG,,,,,,,,E,6,,,
4c56cf1a-ed9,SCH1,2019-Jun-26 00:00:00,SUR2791,FOR2566,MID3788,PSUR8294,FSUR8790,9e4a285a-a6f,2098c528-797,859b7079-2,F,2021-May-16 00:00:00,1,58e37628,d666b1f6,780.0,True,False,,,128.0,,False,3f492417,,7d273149,37fe4ec0,,,,WPOR,,,ENG,,,,G,N,N1,,,
