pupilonrolltableid,NativeId,dob,surname,forename,middlenames,preferredsurname,formersurname,upn,formerupn,uniquelearnernumber,sex,entrydate,pupilonrollorderseqcolumn,sourceid,schoolcensustableid,hoursatsetting,schoollunchtaken,parttime,topupfunding,termlysessionspossible,termlysessionsauthorised,termlysessionsunauthorised,senunitindicator,resourcedprovisionindicator,nonqualhrs,ftemp,qualhrs,qualhrspreviousyear,nonqualhrspreviousyear,tlevelqualhrs,tlevelnonqualhrs,moveoffrollflag,fundedhours,missingaddress,duplicatenotfunded,summerhalfterm2sessionspossible,extendedhours,eligibilitycode,summerhalfterm2sessionsauthorised,summerhalfterm2sessionsunauthorised,dafindicator,summerhalfterm2sessionseducational,summerhalfterm2sessionsexceptional,summerhalfterm2sessionscoronavirus,yssa,servicechild,language,classtype,enrolstatus,boarder,plaa,senprovision,ncyearactual,mathsgcsehighestpriorattainment,mathsgcsepriorattainmentyear11,englishgcsehighestpriorattainment,englishgcsepriorattainmentyear11,mathsgcsefundingexemption,englishgcsefundingexemption,mathsgcsehighestpriorattainmentpreviousyear,englishgcsehighestpriorattainmentpreviousyear,eyppr,eyppbf
1bebb9d1-a41,SCH5,2019-Apr-29 00:00:00,SUR6119,FOR2562,MID4009,PSUR8539,FSUR6269,3a0711dd-1f8,f11da3b4-a86,b299977a-0,M,2020-Sep-24 00:00:00,1,4d89a051,18950838,783.0,True,False,True,120.0,8.0,4.0,True,False,132.0,False,765.0,751.0,120.0,831.0,126.0,b493bc1c,,a14e03a3,b87361ff,130.0,,,8.0,,False,,,,,,GAL,,,,R,,R,,,2,,,,,,,
1c019b56-81a,SCH1,2011-Feb-14 00:00:00,SUR4967,FOR4925,MID1876,PSUR3656,FSUR8346,6d3a73ba-c54,6d7c0d3d-9a6,8be1a44f-d,F,2024-Jul-10 00:00:00,1,dad6ba30,66444593,770.0,False,False,False,118.0,,,False,False,127.0,False,766.0,764.0,135.0,797.0,131.0,e8c789da,,f96a37b5,982fbbbc,128.0,,,9.0,,,3.0,3.0,,,,GER,,S,,,S,2,,,,,,,6,,,
1c0ece07-64b,SCH6,2016-Dec-30 00:00:00,SUR9006,FOR8089,MID9161,PSUR2337,FSUR4819,162243a5-5a1,0e9288d1-0b9,c5eb9b33-5,M,2022-Dec-23 00:00:00,1,6420d3a3,d0d773e0,779.0,True,False,False,123.0,8.0,4.0,False,False,123.0,False,800.0,779.0,129.0,786.0,125.0,a3e72319,,09aba220,d9c1a409,127.0,,,8.0,,,3.0,,,,N,UKR,N,,,,E,E2,,,,,,,,,,
1c109760-c9d,SCH5,2014-Oct-09 00:00:00,SUR4578,FOR6839,MID8159,PSUR3207,FSUR7879,f2c37719-6bf,22eb976c-e48,2f4bcd90-a,F,2024-Jan-24 00:00:00,1,89852dc6,5c18516e,794.0,True,False,False,131.0,8.0,,False,False,129.0,False,786.0,773.0,121.0,784.0,128.0,8b9641ee,5.0,4cb8ac36,4793137d,132.0,,,9.0,4.0,,,,3.0,,,ENG,,S,,R,P,M,,,A*,,O,N,A*,,,
1c16adb4-f94,SCH8,2007-Dec-19 00:00:00,SUR1361,FOR5671,MID6413,PSUR1784,FSUR6056,a2165d53-eba,e212564f-042,512c97fc-2,M,2023-Sep-08 00:00:00,1,9bdad357,6ba46476,771.0,True,,False,128.0,9.0,4.0,False,False,138.0,False,791.0,785.0,124.0,763.0,132.0,e4de1bc2,,d39d13ae,44473b7b,128.0,,,8.0,,,,,,,,ENG,,S,,,A,1,D,,,,,,,,,
1c1f585a-6b1,SCH8,2011-Feb-28 00:00:00,SUR7036,FOR1928,MID4291,PSUR7641,FSUR6012,2e1ee17f-d25,02074571-964,2dd6a34f-8,F,2019-Jan-14 00:00:00,1,de812279,e1ea933a,762.0,False,False,False,134.0,9.0,,False,False,126.0,,821.0,797.0,131.0,784.0,131.0,02f5e363,,90eb93bf,d92c2d70,125.0,,,8.0,,,,,,,,ENG,,F,,,A,4,,1,,,,,,,,
1c3476a4-968,SCH2,2019-Apr-20 00:00:00,SUR4858,FOR6741,MID9881,PSUR3063,FSUR2938,4e0450fa-e98,8dc47bcf-2ed,0e32b631-8,M,2022-Nov-24 00:00:00,1,3c660c87,710c27a2,811.0,False,,False,126.0,7.0,,False,False,125.0,False,,809.0,131.0,787.0,133.0,1872570e,,d130fc38,e8893ae2,128.0,,,8.0,,,,,,,,CYM,,,,,S,11,,,,2,,,2,A*,,
1c360df5-c29,SCH6,2018-Oct-09 00:00:00,SUR1354,FOR7029,MID6633,PSUR5188,FSUR7451,8e45eefb-f06,6b097db9-83c,bab92efa-4,M,2021-Dec-06 00:00:00,1,1d8235d4,807dc252,770.0,True,False,False,128.0,7.0,3.0,True,False,123.0,,812.0,749.0,127.0,732.0,134.0,a859a88e,,87c04bdc,4334b098,116.0,8.0,,8.0,,,,,3.0,,N,ENG,,,,N,P,E1,NR,,8,,,,,7,,
1c3966e3-efe,SCH7,2012-Aug-28 00:00:00,SUR7285,FOR3318,MID7897,PSUR7953,FSUR5372,e4547193-dfd,5ed1622e-7a6,a074c151-8,F,2023-Jan-07 00:00:00,1,a41bfc79,ab4b0d11,781.0,True,,False,131.0,8.0,,False,True,130.0,False,804.0,825.0,131.0,804.0,127.0,61f3cb48,,1524311e,71cd3f3e,133.0,,,9.0,,,,,,,R,ENG,,S,,N,,8,B,,,,,,,,,
1c41133d-a03,SCH6,2009-May-30 00:00:00,SUR6938,FOR7577,MID3905,PSUR2806,FSUR8965,4cfe9d31-cdd,fb9bce6c-f31,56f8717e-1,F,2020-Jan-22 00:00:00,1,7754ddf9,7d080b63,735.0,True,False,,134.0,8.0,,True,False,125.0,False,777.0,793.0,129.0,778.0,136.0,71593206,,427f7daa,4e32ff49,127.0,,,8.0,3.0,,,,,Yes,N,ENG,,M,N,C,,6,,,B,,,,D,,,
1c44cc7f-044,SCH5,2013-Nov-05 00:00:00,SUR7899,FOR8610,MID5137,PSUR2478,FSUR8210,28ef8971-790,c731464a-63b,a3638fde-3,M,2024-Jul-03 00:00:00,1,2b305076,4b9d77f9,820.0,True,True,,138.0,,,False,False,128.0,False,799.0,780.0,128.0,836.0,127.0,2e9baccb,,4b82abcf,dcb9573a,131.0,,,8.0,,,,,,,,ENG,,C,,N,,9,,,8,,,L,,,,
1c46d2a0-e44,SCH8,2008-May-03 00:00:00,SUR2185,FOR1757,MID9792,PSUR7628,FSUR6891,53887eda-50d,f2f9b7b9-5c1,eabfb30c-5,F,2022-Sep-17 00:00:00,1,21000ff5,11010b83,797.0,,False,False,115.0,8.0,2.0,False,False,129.0,False,746.0,782.0,125.0,778.0,119.0,0d52f9eb,11.0,95227735,cecf3898,131.0,,,8.0,3.0,,3.0,,3.0,,,ENG,N,S,N,A,,X,,,,1,,O,,,,
1c56fc65-32c,SCH1,2019-Jun-23 00:00:00,SUR8675,FOR5090,MID7642,PSUR7891,FSUR7845,d4854f54-023,065e9818-9bc,95a156dd-7,F,2022-Oct-09 00:00:00,1,49a1e1ff,203438ed,795.0,True,False,True,132.0,8.0,,False,False,126.0,False,770.0,809.0,130.0,859.0,127.0,34927c14,,1f56c038,0037e691,134.0,,,,,,3.0,,,,Y,ENG,,,,A,N,E1,,,2,,L,,9,,,
1c5ab871-484,SCH8,2018-Apr-18 00:00:00,SUR8832,FOR5287,MID5690,PSUR7652,FSUR2608,98244a1f-164,9da1ed21-61f,35e399f8-b,F,2024-Mar-27 00:00:00,1,062acd61,4d4b28b4,806.0,True,True,False,130.0,,,False,False,134.0,False,766.0,739.0,128.0,773.0,128.0,c8972bd7,,7ee1e2a2,15fcb983,136.0,,,9.0,,,,,,,,ENG,,,,,,R,,1,,1,,F,,,,RB
1c629fcf-d7f,SCH3,2008-Dec-23 00:00:00,SUR9958,FOR9498,MID8150,PSUR6944,FSUR2041,f9ec284e-7c7,8ee46aad-367,1d16c815-a,F,2018-Nov-10 00:00:00,1,f2dd57eb,96644f5e,,False,False,False,136.0,9.0,3.0,False,False,133.0,False,821.0,743.0,131.0,771.0,127.0,dede43e5,,00c8d850,7faf3bcb,127.0,,,,2.0,,3.0,,,,,ENG,,,,,,1,7,,9,,,O,,,,
1c6b4a48-41c,SCH6,2008-Feb-01 00:00:00,SUR9881,FOR9945,MID2230,PSUR9138,FSUR7788,38bebbaf-2b1,4fbb09a9-756,ea9fdef0-8,M,2023-Dec-02 00:00:00,1,ba788ffe,358324bb,800.0,True,False,False,121.0,7.0,3.0,True,False,136.0,False,787.0,790.0,128.0,808.0,129.0,cf27449e,7.0,06237e0d,ebfa4c95,132.0,,,9.0,,False,,,,No,,GAL,O,O,,G,E,6,,,,,,,,,No,
1c6ce37f-827,SCH4,2015-Jul-22 00:00:00,SUR7316,FOR2153,MID1917,PSUR8135,FSUR8656,0bba326b-bd6,2af91714-b96,7959788f-8,F,2022-Dec-11 00:00:00,1,66240ff8,20d1ea46,808.0,True,False,,131.0,9.0,,False,,126.0,False,763.0,801.0,133.0,804.0,131.0,c155de82,,652f9c8a,3df6cb09,134.0,,,9.0,,,,3.0,4.0,"Sought, no reply",U,ENG,,,,,,11,,,,,L,,,,No,RB
1c6de4c3-a35,SCH6,2011-Jul-24 00:00:00,SUR4370,FOR8319,MID4248,PSUR7216,FSUR5213,ae9e5e1a-d81,c836bf44-d6f,9b149645-f,F,2024-Jan-12 00:00:00,1,09dc886e,a9029cb4,804.0,False,True,False,123.0,7.0,,,False,133.0,False,703.0,784.0,130.0,778.0,127.0,2d7c4a43,,c79b7d35,08553290,135.0,,,8.0,,,,,,Yes,,ENG,,M,,N,,8,,,,,O,,,C,,RB
1c6e9366-203,SCH8,2012-Apr-04 00:00:00,SUR8647,FOR2346,MID8252,PSUR9726,FSUR1522,0ca9d9d8-563,863aeadd-549,9639d33b-b,M,2021-Jan-28 00:00:00,1,e00a980b,26ef2f66,824.0,True,False,False,134.0,,,,False,132.0,False,813.0,780.0,128.0,729.0,122.0,9d310d7c,,841c507b,85fb9671,143.0,13.0,,8.0,,True,3.0,3.0,2.0,,R,ENG,N,,,,P,5,,,,,,O,,,,
1c71fdb0-178,SCH4,2012-Dec-25 00:00:00,SUR5948,FOR2339,MID7512,PSUR5553,FSUR3734,68dcd261-976,7ad6fa16-416,1bf36220-9,M,2019-Jan-09 00:00:00,1,b4ee8402,a357fe99,823.0,False,False,False,130.0,9.0,3.0,False,False,126.0,False,790.0,746.0,129.0,733.0,144.0,0f206f45,,bb2a287b,870bc6cc,129.0,,,8.0,,,,,,Unsought,,ENG,,,,C,E,N2,4,,,2,,,,F,Yes,
1c777670-7e7,SCH6,2020-Apr-30 00:00:00,SUR7368,FOR4833,MID2747,PSUR7049,FSUR8764,9398b394-fd6,c9b26de2-9fd,348f5882-b,F,2020-Dec-08 00:00:00,1,f307953a,73259cf2,781.0,True,True,,127.0,8.0,,,True,130.0,False,769.0,789.0,134.0,764.0,132.0,6e4c30f4,,ec792719,3fd2ce38,134.0,,,8.0,,,3.0,,,,,PNJA,,,,R,S,10,,3,,1,,,,,,
1c834461-b1b,SCH7,2008-Mar-01 00:00:00,SUR6832,FOR7223,MID3564,PSUR1165,FSUR5096,52c4e085-2e1,bf931761-acd,9fe7826b-1,F,2024-Jul-13 00:00:00,1,f1012eee,71407fb7,759.0,False,True,False,122.0,7.0,,False,False,130.0,False,802.0,818.0,125.0,791.0,129.0,406f6a58,,bb1eed7b,879f8721,127.0,,,,,,,,3.0,,Y,,,S,,R,,8,,1,,,O,,,7,,
1c8b1cdb-67f,SCH5,2008-Mar-22 00:00:00,SUR7705,FOR4376,MID4591,PSUR3117,FSUR5049,6f3b23ec-168,96326a29-254,42e73c45-5,F,2019-Dec-30 00:00:00,1,d1702feb,4db19557,793.0,,True,False,132.0,,3.0,True,,128.0,False,761.0,808.0,124.0,712.0,135.0,1c7202f8,,9a5cb99b,9c9b3d48,126.0,,,,,True,,3.0,,,,ENG,,F,,C,K,5,,,4,1,,N,,,,
1c8f05e0-25e,SCH5,2016-Apr-07 00:00:00,SUR8913,FOR5320,MID1441,PSUR1926,FSUR2886,b8a9d24d-9fe,2ca4dc5c-1fc,087460c2-8,F,2023-Jan-09 00:00:00,1,cfb1a161,66416326,764.0,True,False,False,130.0,,,True,False,122.0,False,776.0,738.0,123.0,762.0,127.0,b4a054eb,,7ee7622b,9c41a0d7,130.0,,,,,,3.0,,,,R,ENG,N,M,N,,,2,,,,,O,,,B,,RU
1c9de5b5-a1b,SCH6,2009-Jul-25 00:00:00,SUR7181,FOR3518,MID7309,PSUR4643,FSUR7809,445cb294-73a,4737c9fd-90c,501b44b3-1,F,2023-Oct-29 00:00:00,1,32bb141c,c9041417,759.0,True,False,True,120.0,8.0,,False,False,134.0,False,781.0,792.0,135.0,829.0,131.0,9a42cff9,,54036a14,46849e2f,133.0,,,8.0,,,,,3.0,,R,ENG,,,,A,A,N2,7,,6,,,,A,,No,
1ca28f00-ac2,SCH8,2015-Oct-05 00:00:00,SUR3264,FOR7694,MID3040,PSUR5295,FSUR6645,77aefb65-6cb,998fa225-98a,49d9f234-0,F,2022-Jul-29 00:00:00,1,5397b48c,08e96cc9,738.0,True,False,True,130.0,,,False,False,127.0,,806.0,724.0,130.0,734.0,132.0,8c9002a6,,40c583f5,b051d15d,126.0,,,8.0,4.0,,3.0,,,,,ENG,,,,N,P,8,,1,,1,,,,,,
1caac0e7-293,SCH4,2019-Feb-07 00:00:00,SUR2023,FOR5714,MID7443,PSUR1074,FSUR3813,b4d3d3af-fdf,f6fb27e2-353,db9d0495-c,M,2024-May-04 00:00:00,1,1c060791,08597d28,754.0,True,False,False,126.0,,,False,True,140.0,False,757.0,800.0,125.0,755.0,131.0,5efb9d94,,d4197763,6bcb28be,135.0,,,8.0,2.0,False,,,3.0,,,ENG,,S,,R,,5,,3,,,,,,,,
1caf69e1-e84,SCH2,2010-Mar-07 00:00:00,SUR3563,FOR1046,MID4893,PSUR8226,FSUR3146,f76b15b9-76c,163527d1-df5,054e8676-2,F,2022-Feb-22 00:00:00,1,958d790c,9263628f,779.0,True,False,True,128.0,8.0,,,False,128.0,,836.0,762.0,125.0,775.0,125.0,68433d98,,e8b23c94,8a260eab,131.0,,,,3.0,,,,,Unsought,,ENG,,,,,E,5,9,,,,,,,,,
1cb38e68-b66,SCH5,2019-Sep-04 00:00:00,SUR8160,FOR6499,MID1872,PSUR4203,FSUR7070,ceb49ae1-672,91f1ef6f-e24,7351c9be-3,M,2021-Dec-09 00:00:00,1,61e75dcb,31c00ece,756.0,True,False,False,122.0,,,,False,123.0,False,774.0,827.0,123.0,796.0,132.0,34f5bf61,,0a885a84,a883c39a,136.0,,,8.0,2.0,,,,,,R,GER,,C,,A,,11,,,,,,,A,A,,
1cb79e2a-ae4,SCH5,2012-Oct-17 00:00:00,SUR4647,FOR9245,MID8944,PSUR6541,FSUR5983,df031726-69e,0a7cb123-e5b,f1dbf716-d,M,2020-Oct-02 00:00:00,1,2cfb9027,e460f9fd,733.0,True,False,False,123.0,,,False,False,127.0,,848.0,789.0,127.0,798.0,125.0,ee7a1276,,d779c31d,81068435,124.0,,,8.0,,False,,3.0,,No,,ENG,,,,C,,E2,,,,2,,,B,,,
1cb8a2b4-44a,SCH6,2017-Apr-23 00:00:00,SUR5776,FOR7132,MID5077,PSUR8065,FSUR4731,89524529-6f3,a35cae5f-9b0,188e2d17-a,F,2023-Jul-16 00:00:00,1,1e5cd9cf,c6740239,772.0,True,False,False,133.0,9.0,3.0,,False,143.0,False,767.0,778.0,136.0,782.0,130.0,978611ff,,7f6aefff,61a12dba,129.0,,,8.0,,,,3.0,3.0,,,ENG,,,,G,,8,,,6,,,,,2,,
1cb9f597-cf3,SCH2,2007-Sep-20 00:00:00,SUR7297,FOR2412,MID1565,PSUR2901,FSUR3082,cd1455c9-01f,70e3d192-e75,cea2d284-b,M,2024-Jun-20 00:00:00,1,cd1fdbd1,34138fe1,751.0,True,,False,124.0,9.0,3.0,False,False,130.0,False,786.0,820.0,127.0,810.0,126.0,488cb93b,,756f8cf5,e57d4527,131.0,,,8.0,,True,3.0,,3.0,,,GER,,C,,,P,8,,,,,,,,,,
1cbc948b-e38,SCH7,2012-Jan-11 00:00:00,SUR1350,FOR8360,MID2180,PSUR7911,FSUR2488,a7e921ed-891,1f953c98-e96,0ea806d2-6,M,2024-Feb-24 00:00:00,1,1a9b42e9,a483375d,760.0,True,False,,132.0,8.0,3.0,False,True,130.0,False,756.0,797.0,138.0,837.0,130.0,74a599cb,,6dfe7385,7aebc6d6,129.0,,,8.0,,,,,,No,,GAL,,,,G,,M,,,,,,,A,,,RU
1cc081a7-b14,SCH5,2014-Nov-09 00:00:00,SUR4088,FOR2539,MID7748,PSUR8851,FSUR6432,c95bcdff-68e,601ba20d-5d2,a9cf9e53-0,M,2024-Oct-18 00:00:00,1,ddb27f4c,3177acbe,785.0,False,False,False,126.0,8.0,,True,False,130.0,False,785.0,788.0,120.0,765.0,137.0,db579fd7,,db8472ec,e595bc62,129.0,,,8.0,,,3.0,3.0,,Yes,,CYM,,,,,,X,,,,,L,,,,No,
1cc1f5bf-6f5,SCH3,2014-May-10 00:00:00,SUR4231,FOR5150,MID5291,PSUR8464,FSUR4905,ab5bc46f-d2c,056ad652-21e,ae7ebe59-b,F,2020-Jun-09 00:00:00,1,c9f5b28e,beb0ed20,788.0,False,False,True,131.0,7.0,,False,False,125.0,False,880.0,746.0,134.0,788.0,129.0,9275e523,,32e8d668,b5183ea2,135.0,,,8.0,,,3.0,4.0,,,Y,ENG,,O,,A,A,8,9,,,,,N,D,B,,RO
1cc288e0-056,SCH3,2009-Sep-29 00:00:00,SUR5292,FOR7703,MID2792,PSUR3932,FSUR2426,2ced4a3c-5fb,d9085f19-d3e,14f30686-b,M,2019-Jun-24 00:00:00,1,cbca6f07,34cb1e45,800.0,True,False,False,134.0,8.0,,False,False,129.0,False,776.0,777.0,129.0,804.0,133.0,3b6627a1,,c770e8f9,851b6086,142.0,,,,,,,,3.0,No,,ENG,O,,,,K,N2,,,,,L,,,,,
1cd6e901-d0f,SCH2,2012-Sep-03 00:00:00,SUR2290,FOR8370,MID7423,PSUR6837,FSUR2258,44268d7b-a30,f91b5bfc-0c5,e0ca6aa4-9,F,2022-Jan-13 00:00:00,1,99f24dae,d5c06e82,752.0,True,False,False,136.0,9.0,,False,False,136.0,False,783.0,760.0,127.0,804.0,121.0,7070d671,,6b296482,1582b99e,137.0,,,8.0,,,,,3.0,Yes,,ENG,N,,,,K,3,,,,,,,,,,
1ce02465-35e,SCH2,2011-Oct-02 00:00:00,SUR6035,FOR9617,MID3406,PSUR2913,FSUR9023,5700c0b1-0e3,422a6749-954,c58d7685-5,M,2022-Feb-26 00:00:00,1,07c7854a,47949933,686.0,,True,True,128.0,,,False,False,127.0,False,744.0,729.0,133.0,805.0,119.0,1a520b0b,10.0,8e0a8a31,1f2a59d7,127.0,,,9.0,,,3.0,2.0,,,N,CYM,,F,,,,M,,,,,,,5,,No,
1ceacffd-886,SCH6,2009-Dec-31 00:00:00,SUR6583,FOR6201,MID9149,PSUR6183,FSUR1954,b7c78f40-dc2,c509e5a4-06e,3faa98ca-c,F,2024-Jan-15 00:00:00,1,0c50ba01,d1dce375,789.0,True,True,,129.0,9.0,,False,False,120.0,,721.0,738.0,134.0,778.0,135.0,7286afab,,83ef4129,132a8f73,130.0,,,9.0,,,,,,,,ENG,,C,,C,E,13,3,,9,1,,,,,,
1ceb7901-a41,SCH2,2011-Jan-24 00:00:00,SUR3297,FOR3844,MID2095,PSUR9255,FSUR1389,0f3ac47a-191,07723daa-8d3,1f571ec8-b,F,2020-May-09 00:00:00,1,0c6978e3,7ac9a115,755.0,True,False,False,136.0,8.0,,False,True,138.0,False,768.0,779.0,135.0,782.0,136.0,def514ae,,8c084c41,c8f9d8a1,131.0,,,7.0,,,,,2.0,,,CHI,N,,,,,9,A,,,,F,,,,,
1cfd9d77-6b2,SCH1,2009-Jul-30 00:00:00,SUR9940,FOR8909,MID1595,PSUR6610,FSUR8529,c00efbf2-c0a,ee4fb50c-84b,106ed5dc-c,M,2023-Jun-16 00:00:00,1,f84b2a70,78076a9e,783.0,False,False,False,120.0,,,True,False,130.0,True,762.0,784.0,122.0,808.0,130.0,4640d2b3,6.0,6188496d,7ef3378f,120.0,,,8.0,3.0,True,,,,No,,ENG,,,,R,P,14,,1,,,U,,C,,,
1d062bc3-718,SCH1,2016-Feb-25 00:00:00,SUR2284,FOR7811,MID9852,PSUR7478,FSUR3488,b8c6597a-d2d,a09a535b-d67,b7368362-9,F,2023-Jun-03 00:00:00,1,9c38b7ec,ce25dcad,772.0,True,False,True,132.0,8.0,,False,False,130.0,False,800.0,780.0,129.0,800.0,137.0,d5b75239,,44444e34,d88404fc,134.0,,,8.0,3.0,,3.0,,,,U,ENG,,,,,,1,,,,,F,,,,,
1d0a0bbd-9ec,SCH2,2015-Jun-10 00:00:00,SUR6076,FOR2262,MID7564,PSUR4629,FSUR7996,db57da75-f40,5199b19b-1cd,c223ac94-f,F,2022-Oct-16 00:00:00,1,e7548e94,adaa052d,793.0,False,False,False,133.0,9.0,,False,False,133.0,False,775.0,797.0,138.0,759.0,137.0,b5afe705,6.0,d93a5cf5,98a8ae87,123.0,,,,,,3.0,,3.0,,Y,ENG,,O,,,,N2,,,,,N,,,,,
1d0ba682-26f,SCH1,2009-Jul-24 00:00:00,SUR1589,FOR1615,MID5400,PSUR2674,FSUR5305,7a66fd9a-9f5,bd1ace49-2d9,1fbc72d8-d,F,2024-Oct-30 00:00:00,1,11f3dd30,d6660d43,811.0,True,,False,125.0,8.0,3.0,False,False,133.0,False,800.0,785.0,129.0,816.0,124.0,d5768574,9.0,9f581c2a,bc5b8b8a,128.0,,,8.0,,,,,3.0,,,ENG,,,,G,S,E2,,,,,,,6,,,
1d0d8855-576,SCH6,2015-Mar-19 00:00:00,SUR2469,FOR1735,MID6980,PSUR5688,FSUR7388,74bc4edb-d6a,23128945-23e,99184f68-a,M,2023-May-23 00:00:00,1,443319a8,aee9b167,773.0,False,False,False,136.0,9.0,,True,False,135.0,False,780.0,767.0,132.0,744.0,132.0,7abda2c5,,b0422fa7,f6584545,134.0,,8.0,,,,,,,,Y,ENG,,M,N,,N,X,,,,,U,,,5,,
1d0f9a65-114,SCH1,2012-Feb-03 00:00:00,SUR6307,FOR7371,MID5341,PSUR4268,FSUR8206,049cb63c-e6f,02c9dfa6-fa9,fccc9f99-d,F,2024-Jan-29 00:00:00,1,2aaa78a8,d0a7b6d1,754.0,True,False,,137.0,8.0,,False,False,128.0,False,814.0,825.0,127.0,788.0,126.0,53754d03,,f79cd211,a2a419e7,127.0,,,9.0,3.0,,3.0,3.0,,Unsought,,ENG,,,,,,R,,2,,,,,,,Yes,
1d0fd8ec-4d8,SCH2,2017-Jun-17 00:00:00,SUR7024,FOR7240,MID7740,PSUR7922,FSUR1240,a313ded7-aa5,7b73f826-844,f8db611e-8,M,2022-Aug-28 00:00:00,1,2ec45429,404b4e44,765.0,True,True,True,131.0,8.0,3.0,False,False,133.0,False,793.0,774.0,125.0,754.0,120.0,593c676c,,62f3398e,95159041,132.0,6.0,,8.0,3.0,,,,,,R,CYM,,,,,K,X,7,,,,,U,,C,,
1d19b0aa-081,SCH4,2016-Sep-01 00:00:00,SUR8300,FOR1050,MID1028,PSUR5469,FSUR6560,8e73bd34-957,00d102c9-fe8,ca2a3d71-8,M,2024-May-10 00:00:00,1,3dea88bd,452bb2e5,752.0,True,False,True,122.0,,,False,False,133.0,False,761.0,773.0,128.0,730.0,128.0,c4c37e3d,,7a3503e7,8a29c15c,127.0,5.0,,7.0,,,,,,,,ENG,,,,,,7,,,,,,,,,Yes,
1d2d3f54-60c,SCH7,2015-Oct-24 00:00:00,SUR6080,FOR8307,MID9879,PSUR8223,FSUR1138,3e86e7b9-5b7,d3133515-3e8,00890248-4,M,2021-Jan-05 00:00:00,1,807cb2e8,5111b2a9,790.0,,False,False,128.0,7.0,,False,False,131.0,False,779.0,804.0,120.0,759.0,137.0,5d5aa271,,472fae18,028a4f83,128.0,,,8.0,,,,,,No,,ENG,N,S,,,S,R,,,,1,,,,,No,
1d3519c5-af9,SCH3,2011-Mar-21 00:00:00,SUR2977,FOR1654,MID7425,PSUR9243,FSUR1347,9c0e7f9a-212,a2050bd1-747,6ffd662d-d,M,2020-Jun-24 00:00:00,1,1d9417e6,8e4469cc,731.0,False,True,,118.0,8.0,2.0,,False,139.0,False,792.0,811.0,130.0,814.0,121.0,e07d0cd6,,70adb1d1,48e5886d,132.0,,,,,,2.0,,,Yes,N,ENG,,O,,C,K,N2,4,,,,,,,,,
1d42f12b-b0a,SCH3,2014-Aug-26 00:00:00,SUR8459,FOR3007,MID3347,PSUR8231,FSUR5941,b87b3b11-46d,542e4545-703,79246137-0,M,2024-Aug-01 00:00:00,1,88870901,c52f6937,732.0,True,False,False,135.0,8.0,,False,False,130.0,False,777.0,745.0,125.0,729.0,125.0,8662af02,,f2ed50b2,dcc26adf,132.0,,,9.0,,,3.0,,4.0,,,ENG,,,,A,,7,,3,,,,U,A*,,No,RB
1d4674b7-a32,SCH2,2015-Apr-06 00:00:00,SUR4785,FOR7371,MID5411,PSUR9894,FSUR7960,ce0da21b-2ae,4e97c612-c1b,ad67c9a1-8,F,2024-Jul-17 00:00:00,1,fb9ab2f2,aa52dc08,831.0,True,False,False,129.0,,3.0,False,False,131.0,False,773.0,803.0,135.0,751.0,124.0,9d9e731f,,534ce577,ae5ad4a4,125.0,,,7.0,,,,,,,Y,ENG,,,,C,,R,,,A,3,,,,,,
1d4cd7aa-433,SCH8,2007-Nov-03 00:00:00,SUR9620,FOR9055,MID5661,PSUR5008,FSUR5055,d68dbe8c-dfb,56e686b6-5e8,7876d670-5,M,2023-Nov-17 00:00:00,1,0779eb74,ded1bbea,783.0,True,False,False,128.0,8.0,2.0,,False,125.0,False,790.0,754.0,133.0,779.0,134.0,0ffde3ff,,85b7fa56,747aa415,127.0,,,8.0,,False,,,,,Y,ENG,,,,,A,M,,,,,N,,,,,
1d4d45cb-6e1,SCH5,2011-Oct-05 00:00:00,SUR4172,FOR3761,MID5303,PSUR9686,FSUR7572,e4429a36-679,9a7f75b8-d5d,71f44636-f,M,2024-Dec-02 00:00:00,1,623ee544,403dd293,745.0,True,True,True,138.0,8.0,,True,False,129.0,False,758.0,801.0,130.0,774.0,125.0,23933283,,0a8a9629,cbadcc84,134.0,,,8.0,3.0,,,,,,,ENG,,S,,R,,E2,,2,,2,,U,,,,
1d64ffa8-1fa,SCH8,2017-Jan-19 00:00:00,SUR5246,FOR4576,MID9307,PSUR2812,FSUR3260,999025ae-ada,04d87c83-6ef,e8837bb6-9,F,2023-Mar-16 00:00:00,1,4f6b7636,b124ce7a,788.0,True,False,False,131.0,8.0,,False,False,132.0,False,759.0,770.0,134.0,837.0,134.0,b3efed17,,1d96cd62,77b5a0fd,130.0,,,7.0,,,,,3.0,,,ENG,,S,,N,N,12,,2,,,,,,,,
1d65ae4b-661,SCH5,2010-Jul-20 00:00:00,SUR4760,FOR7965,MID9231,PSUR9009,FSUR4214,af22050b-4a6,6ef72552-1d8,82de8657-a,F,2022-Feb-19 00:00:00,1,1d3891ff,481df2d5,752.0,False,False,,136.0,,,True,False,122.0,False,808.0,801.0,129.0,791.0,129.0,f88fb7c9,9.0,3ee34abd,9ee12e3e,134.0,,,,,,,,3.0,,,ENG,O,,,,,4,,,,,,,,,,RE
